date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.092258,244.41595779576429,245.68538447953168,243.33150067019542,245.57733232936377,1855837,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.092258,242.15294131871633,246.2831336026782,242.9365958206211,244.00172722891486,4912308,50.0,50.0,-0.32,-0.32,-0.32
2026-05-10 01:20:38.092258,242.37109420147223,243.091518707133,241.63721752565274,242.56271188616543,7017870,50.0,50.0,-0.61,-0.61,-0.61
2026-05-11 01:20:38.092258,239.3769781972033,243.32601289942082,239.71968207029826,241.08601088570475,9499603,50.0,50.0,-0.91,-0.91,-0.91
2026-05-12 01:20:38.092258,238.79664363249967,240.20450510249177,237.06658397218985,239.0700320591116,7628037,50.0,50.0,-1.4,-1.4,-1.4
2026-05-13 01:20:38.092258,237.522803850263,238.6852029657791,235.69221027797457,238.65187816175822,1999403,50.0,50.0,-1.0,-1.31,-1.31
2026-05-14 01:20:38.092258,241.01007915688,242.78357759993207,241.543662867664,242.1695866424231,4153557,50.0,50.0,0.61,0.12,0.12
2026-05-15 01:20:38.092258,240.38964192869378,243.68938070578375,241.49632509505236,242.00420258892953,7004030,50.0,50.0,0.59,0.05,0.05
2026-05-16 01:20:38.092258,239.58674138381085,242.6862737668766,238.89128472780817,240.45807986760107,9298248,48.33,49.44,-0.01,-0.53,-0.53
2026-05-17 01:20:38.092258,240.0733730626749,242.1337326719042,237.9151016655651,240.6203906265036,1980095,47.73,48.87,-0.07,-0.41,-0.41
2026-05-18 01:20:38.092258,237.2700919663673,240.5960045874083,236.95999847585628,238.07650503512622,5553726,41.76,46.5,-1.08,-1.16,-1.34
2026-05-19 01:20:38.092258,239.83095041880682,244.08152680548537,240.19465377747437,241.52671513602237,6555111,51.02,48.01,0.41,0.38,0.09
2026-05-20 01:20:38.092258,242.10703636361973,244.10122678777975,239.88049651602736,242.7528523076509,2014596,62.0,52.67,0.86,0.88,0.55
2026-05-21 01:20:38.092258,243.04658317321832,245.36221071483195,241.27179302333573,244.0480494306034,4182166,70.14,58.5,1.09,1.29,1.01
2026-05-22 01:20:38.092258,240.21410009084846,243.68679515163817,240.20013563450615,241.92559895764833,3618790,66.46,61.15,0.11,0.29,0.12
2026-05-23 01:20:38.092258,239.81225338877948,242.0560279176264,238.5547415848348,240.0063846302419,6498887,56.39,59.56,-0.85,-0.56,-0.63
2026-05-24 01:20:38.092258,237.37674170858557,240.21555312927708,237.01386859684519,239.07846493745262,6473983,46.0,55.04,-1.03,-0.82,-0.96
2026-05-25 01:20:38.092258,237.11558783311378,240.51721712463015,236.501845809756,238.17116747235713,6331267,36.95,49.01,-1.03,-1.04,-1.26
2026-05-26 01:20:38.092258,235.21504045407198,237.55661043770345,235.700135960313,236.60686311456817,6778975,27.76,41.93,-1.07,-1.53,-1.81
2026-05-27 01:20:38.092258,238.82152088049813,239.4659528324811,237.64131284174965,238.8831513669949,4643232,29.49,37.78,0.14,-0.51,-0.82
2026-05-28 01:20:38.092258,235.82774894688092,237.42638761430428,236.18256772252028,236.9272632939658,1427168,23.89,33.15,-0.42,-1.28,-1.46
2026-05-29 01:20:38.092258,233.3955299869749,235.30118321081716,233.28949728806418,234.18191008744742,6482688,18.39,28.23,-1.17,-2.12,-2.4
2026-05-30 01:20:38.092258,234.0530057544602,235.52642760168746,233.30119902373968,234.60054192216828,6692512,16.46,24.31,-0.69,-1.61,-2.06
2026-05-31 01:20:38.092258,231.04063264002033,233.1166354501197,231.20607825173028,232.383241486976,9891640,14.59,21.07,-1.28,-2.06,-2.81
2026-06-01 01:20:38.092258,228.74479947802277,231.95433582905878,227.3401527213165,229.84473465330194,2071517,16.06,19.4,-1.6,-2.64,-3.69
2026-06-02 01:20:38.092258,228.7722698224603,232.05770733007665,228.3081979421895,230.3158914052481,3390902,18.24,19.01,-0.84,-2.03,-3.32
2026-06-03 01:20:38.092258,232.00671924796865,234.31160001567858,230.60091399293995,232.70055706671803,5407560,26.89,21.64,0.32,-0.75,-2.13
2026-06-04 01:20:38.092258,230.537973463892,231.8531078174839,230.16673184674022,230.7497922398947,4156688,27.3,23.53,-0.19,-1.27,-2.72
2026-06-05 01:20:38.092258,231.9634944859295,233.05655620699918,230.8958142253506,232.95306914206964,9507923,36.75,27.94,0.71,-0.17,-1.63
2026-06-06 01:20:38.092258,232.11293530238567,235.18027559995147,230.59097271320258,232.89007673774884,9718746,47.1,34.32,0.42,0.06,-1.5
