date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2024-04-30,57.150001525878906,57.79999923706055,57.150001525878906,57.150001525878906,530115,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-05-02,56.84999847412109,57.25,56.70000076293945,57.09999847412109,363000,0.0,0.0,0.0,50.0,50.0,-0.04,-0.04,-0.04
2024-05-03,55.84999847412109,56.0,55.400001525878906,55.59999847412109,1073000,0.0,0.0,0.0,50.0,50.0,-1.8,-1.8,-1.8
2024-05-06,57.09999847412109,57.650001525878906,57.09999847412109,57.5,717000,0.0,0.0,0.0,50.0,50.0,1.17,1.17,1.17
2024-05-07,57.09999847412109,57.59999847412109,56.900001525878906,57.400001525878906,594000,0.0,0.0,0.0,50.0,50.0,0.79,0.79,0.79
2024-05-08,56.75,56.75,56.09999847412109,56.34999847412109,906368,0.0,0.0,0.0,50.0,50.0,-0.77,-0.88,-0.88
2024-05-09,56.5,57.0,56.400001525878906,56.45000076293945,334000,0.0,0.0,0.0,50.0,50.0,-0.37,-0.6,-0.6
2024-05-10,57.79999923706055,57.84999847412109,56.54999923706055,56.54999923706055,755000,0.0,0.0,0.0,50.0,50.0,-0.53,-0.37,-0.37
2024-05-13,56.54999923706055,57.0,56.25,56.54999923706055,695000,0.0,0.0,0.0,48.98,49.66,-0.19,-0.33,-0.33
2024-05-14,57.04999923706055,57.04999923706055,56.29999923706055,56.650001525878906,1287015,0.0,0.0,0.0,49.66,49.66,0.25,-0.14,-0.14
2024-05-15,57.29999923706055,57.5,57.0,57.0,797048,0.0,0.0,0.0,54.88,51.4,0.64,0.5,0.43
2024-05-16,56.70000076293945,57.0,56.54999923706055,57.0,446000,0.0,0.0,0.0,53.73,52.17,0.44,0.52,0.4
2024-05-17,57.09999847412109,57.650001525878906,57.09999847412109,57.34999847412109,2131450,0.0,0.0,0.0,59.63,54.66,0.77,0.83,0.93
2024-05-20,58.75,59.25,58.29999923706055,58.29999923706055,1443384,0.0,0.0,0.0,63.03,57.45,1.82,2.35,2.42
2024-05-21,58.650001525878906,58.95000076293945,58.29999923706055,58.34999847412109,697201,0.0,0.0,0.0,65.35,60.08,1.3,2.27,2.33
2024-05-22,57.59999847412109,57.900001525878906,57.34999847412109,57.5,1038734,0.0,0.0,0.0,57.46,59.21,-0.35,0.58,0.79
2024-05-23,57.5,58.04999923706055,57.29999923706055,57.900001525878906,1121000,0.0,0.0,0.0,56.64,58.35,0.03,1.02,1.4
2024-05-24,57.29999923706055,57.70000076293945,57.25,57.54999923706055,889001,0.0,0.0,0.0,51.88,56.2,-0.64,0.24,0.74
2024-05-27,57.75,58.150001525878906,57.59999847412109,58.09999847412109,538010,0.0,0.0,0.0,53.72,55.37,0.38,0.92,1.62
2024-05-28,58.400001525878906,58.5,58.150001525878906,58.400001525878906,317010,0.0,0.0,0.0,58.66,56.47,0.88,1.13,2.03
2024-05-29,58.34999847412109,58.34999847412109,57.650001525878906,57.650001525878906,202045,0.0,0.0,0.0,47.63,53.52,-0.47,-0.28,0.68
2024-05-30,55.70000076293945,56.95000076293945,55.650001525878906,56.59999847412109,604021,0.0,0.0,0.0,40.55,49.2,-1.84,-2.03,-1.11
2024-05-31,57.900001525878906,58.59999847412109,57.400001525878906,58.45000076293945,692008,0.0,0.0,0.0,55.32,51.24,1.05,0.98,1.86
2024-06-03,60.04999923706055,60.04999923706055,59.400001525878906,59.650001525878906,621480,0.0,0.0,0.0,67.18,56.55,2.58,2.82,3.76
2024-06-04,59.45000076293945,59.5,58.900001525878906,59.25,337001,0.0,0.0,0.0,72.06,61.72,1.59,1.97,2.9
