date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d
2024-06-05,115.0999984741211,115.5999984741211,115.0,115.5999984741211,588049,0.0,0.0,0.0,50.0,50.0
2024-06-06,119.5,119.75,119.3499984741211,119.44999694824219,2008610,0.0,0.0,0.0,50.0,50.0
2024-06-07,119.3499984741211,119.5999984741211,119.30000305175781,119.5999984741211,992534,0.0,0.0,0.0,50.0,50.0
2024-06-11,119.5,119.5999984741211,119.3499984741211,119.5,539116,0.0,0.0,0.0,50.0,50.0
2024-06-12,121.4000015258789,121.69999694824219,121.4000015258789,121.55000305175781,1635520,0.0,0.0,0.0,50.0,50.0
2024-06-13,126.05000305175781,126.4000015258789,126.0,126.0999984741211,2283687,0.0,0.0,0.0,50.0,50.0
2024-06-14,126.0999984741211,126.5,126.0,126.3499984741211,840000,0.0,0.0,0.0,50.0,50.0
2024-06-17,127.0999984741211,127.30000305175781,127.0,127.0999984741211,639000,0.0,0.0,0.0,50.0,50.0
2024-06-18,129.9499969482422,130.0,129.60000610351562,129.85000610351562,850181,0.0,0.0,0.0,66.33,55.44
2024-06-19,130.0500030517578,130.39999389648438,130.0500030517578,130.10000610351562,1026200,0.0,0.0,0.0,76.65,62.51
2024-06-20,130.5500030517578,131.64999389648438,130.5500030517578,131.4499969482422,524000,0.0,0.0,0.0,83.9,69.64
2024-06-21,127.80000305175781,128.39999389648438,127.80000305175781,128.3000030517578,1118501,0.0,0.0,0.0,80.19,73.16
2024-06-24,127.6500015258789,127.6500015258789,126.4000015258789,127.0999984741211,1700322,0.0,0.0,0.0,71.99,72.77
2024-06-25,124.3499984741211,125.0,124.05000305175781,125.0,1201295,0.0,0.0,0.0,52.16,65.9
2024-06-26,127.0999984741211,127.44999694824219,127.0999984741211,127.3499984741211,697101,0.0,0.0,0.0,49.25,60.35
2024-06-27,126.05000305175781,126.75,126.05000305175781,126.55000305175781,516070,0.0,0.0,0.0,43.8,54.83
2024-06-28,128.60000610351562,129.25,128.39999389648438,128.85000610351562,1374800,0.0,0.0,0.0,50.25,53.31
2024-07-01,127.25,127.4000015258789,127.0,127.25,927806,0.0,0.0,0.0,47.54,51.38
2024-07-02,127.3499984741211,127.3499984741211,126.9000015258789,127.19999694824219,764400,0.0,0.0,0.0,45.51,49.42
2024-07-03,130.39999389648438,130.5500030517578,130.35000610351562,130.5500030517578,631125,0.0,0.0,0.0,63.67,54.17
