date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.084042,122.44795530012183,124.45550999286885,120.20701528097192,123.0490602213944,9944015,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.084042,125.15617784141398,126.04588523246876,123.39627936910546,125.89276223772737,7690638,50.0,50.0,1.14,1.14,1.14
2026-05-10 01:20:38.084042,126.68987551066857,128.90111424225947,125.3333748176506,128.19239849754442,5741687,50.0,50.0,1.97,1.97,1.97
2026-05-11 01:20:38.084042,129.0797437023338,129.91255656274444,128.5631065541695,129.45476219203994,6731397,50.0,50.0,2.22,2.22,2.22
2026-05-12 01:20:38.084042,125.44433481591965,126.06233186148752,123.66990032992513,125.52111800351375,9007967,50.0,50.0,-0.71,-0.71,-0.71
2026-05-13 01:20:38.084042,123.69128619650488,126.3799938820856,122.68454543113991,124.04899729373777,9319438,50.0,50.0,-2.03,-1.57,-1.57
2026-05-14 01:20:38.084042,123.05066956555766,126.9509579019741,122.50302445287907,124.72644953929156,6468958,50.0,50.0,-1.32,-0.89,-0.89
2026-05-15 01:20:38.084042,124.42608161151007,126.55708519140093,124.85557168372766,125.58548652965435,6215220,50.0,50.0,-0.22,-0.18,-0.18
2026-05-16 01:20:38.084042,121.64424635544812,122.48541405786847,120.92918404496655,122.4151344499765,2826141,40.92,46.97,-1.64,-2.41,-2.41
2026-05-17 01:20:38.084042,124.11122842160744,126.3723024274629,125.04435488858186,125.27632427008469,9656868,43.41,45.78,0.7,-0.11,-0.11
2026-05-18 01:20:38.084042,125.2376057080835,125.51003593974042,122.5593244676185,125.44156545936694,2515162,45.68,45.75,0.6,-0.17,0.02
2026-05-19 01:20:38.084042,126.52066598659597,127.96540961860013,126.42603238080436,126.6576321707218,1014493,51.71,47.74,1.27,0.74,0.9
2026-05-20 01:20:38.084042,130.40269505627856,133.40000240914344,128.23608019608866,130.56290604547405,3362786,60.22,51.9,3.56,3.65,3.7
2026-05-21 01:20:38.084042,128.7610064804722,130.44841873197583,126.94049357586364,129.18804538227,7039221,62.22,55.34,1.38,2.58,2.41
2026-05-22 01:20:38.084042,129.24541978085054,131.59306274909625,128.84888791455762,130.91560443425615,5596111,68.18,59.62,1.84,3.51,3.52
2026-05-23 01:20:38.084042,130.7534358308713,132.92595665915806,130.76473440624702,131.74538352725486,6067011,74.36,64.53,1.49,3.53,3.91
2026-05-24 01:20:38.084042,132.04465121741188,135.53626278714302,131.3799437725475,132.78894296148908,1794680,76.64,68.57,1.33,3.69,4.44
2026-05-25 01:20:38.084042,133.06305099238503,137.4079095981412,132.70869736384324,135.02206275356892,2719535,79.07,72.07,2.34,4.67,5.83
2026-05-26 01:20:38.084042,130.97635692468708,134.30428122988974,129.86379804735427,131.94519567362534,7588367,73.78,72.64,-0.41,1.53,3.23
2026-05-27 01:20:38.084042,133.1534325765965,135.18415429245914,134.3200686748888,135.11333892611924,1723189,75.56,73.61,1.34,3.19,5.41
2026-05-28 01:20:38.084042,132.48451764587293,136.2615472102453,132.15804583978831,133.37765610402607,6588312,70.87,72.7,-0.2,1.25,3.64
2026-05-29 01:20:38.084042,134.99424433429257,136.76963066588968,135.5298174689165,135.68039030839608,9774780,75.08,73.49,1.08,2.3,5.03
2026-05-30 01:20:38.084042,135.7655364411064,138.33510310254286,134.2625617118199,136.33337646473376,4469788,76.35,74.45,1.37,2.34,5.2
2026-05-31 01:20:38.084042,139.81156321950147,140.72652916784494,138.6137056483486,139.8804067710428,2876266,81.64,76.84,2.8,4.17,7.51
2026-06-01 01:20:38.084042,137.53767107430383,140.37744107493285,136.83062351439096,138.18876149537866,1919828,79.97,77.89,1.09,2.36,5.69
2026-06-02 01:20:38.084042,136.01967452738992,138.5857245217903,134.85485445089023,136.75701166507156,2106646,74.47,76.75,-0.44,0.92,4.09
2026-06-03 01:20:38.084042,134.2197251514183,136.7738823960741,132.88828566002283,134.86839425797186,1181700,65.0,72.83,-1.7,-0.63,2.26
2026-06-04 01:20:38.084042,135.26022368338172,138.37207214835712,135.03775438790402,136.43011602215591,7323680,59.95,68.54,-0.58,0.42,3.02
2026-06-05 01:20:38.084042,137.1919845578622,139.7681669927729,136.43927987328183,137.41808440064426,9483632,60.43,65.84,0.5,0.74,3.18
2026-06-06 01:20:38.084042,134.27417552713655,137.19045511239165,135.5690625513625,135.99221857669804,7414792,53.49,61.72,-0.22,-0.37,1.7
