date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2025-12-30,10.239999771118164,10.399999618530272,10.239999771118164,10.380000114440918,244368400,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2025-12-31,10.460000038146973,10.520000457763672,10.390000343322754,10.43000030517578,175585400,0.0,0.0,0.0,50.0,50.0,0.24,0.24,0.24
2026-01-02,10.5,10.5,10.329999923706056,10.390000343322754,78655390,0.0,0.0,0.0,50.0,50.0,-0.1,-0.1,-0.1
2026-01-07,10.800000190734863,10.8100004196167,10.529999732971191,10.59000015258789,42423516,0.0,0.0,0.0,50.0,50.0,1.36,1.36,1.36
2026-02-10,11.739999771118164,11.75,11.609999656677246,11.729999542236328,30417780,0.0,0.0,0.0,50.0,50.0,9.59,9.59,9.59
2026-02-11,11.800000190734863,11.93000030517578,11.779999732971191,11.90999984741211,29845420,0.0,0.0,0.0,50.0,50.0,8.17,9.22,9.22
2026-02-23,12.18000030517578,12.199999809265137,12.020000457763672,12.020000457763672,25469970,0.0,0.0,0.0,50.0,50.0,6.11,8.64,8.64
2026-02-24,12.119999885559082,12.43000030517578,12.109999656677246,12.43000030517578,27599870,0.0,0.0,0.0,50.0,50.0,5.91,10.64,10.64
2026-02-25,12.630000114440918,12.729999542236328,12.470000267028809,12.729999542236328,28224200,0.0,0.0,0.0,66.67,55.56,4.65,11.66,11.66
2026-02-26,12.739999771118164,12.949999809265137,12.68000030517578,12.920000076293944,28427990,0.0,0.0,0.0,77.4,62.84,4.18,11.83,11.83
2026-03-02,12.5,12.970000267028809,12.489999771118164,12.869999885559082,32014610,0.0,0.0,0.0,83.67,69.78,2.19,9.05,10.26
2026-03-03,12.869999885559082,13.020000457763672,12.420000076293944,12.43000030517578,49976210,0.0,0.0,0.0,81.21,73.59,-1.94,3.57,5.91
2026-03-04,12.079999923706056,12.09000015258789,11.579999923706056,11.640000343322754,77497300,0.0,0.0,0.0,55.53,67.57,-7.01,-4.02,-0.75
2026-03-05,12.239999771118164,12.369999885559082,11.920000076293944,12.260000228881836,45355350,0.0,0.0,0.0,52.76,62.63,-1.32,-0.28,4.19
2026-03-06,12.119999885559082,12.369999885559082,12.050000190734863,12.279999732971191,19467380,0.0,0.0,0.0,51.38,58.88,-0.13,-0.56,4.06
2026-03-09,11.390000343322754,11.390000343322754,11.1899995803833,11.350000381469728,52023590,0.0,0.0,0.0,37.17,51.64,-5.35,-7.67,-3.59
2026-03-10,11.829999923706056,12.0,11.720000267028809,11.890000343322754,29769230,0.0,0.0,0.0,37.53,46.94,0.05,-3.18,0.94
2026-03-11,12.300000190734863,12.68000030517578,12.289999961853027,12.649999618530272,39359920,0.0,0.0,0.0,51.61,48.5,4.67,2.83,6.95
2026-03-12,12.68000030517578,12.949999809265137,12.630000114440918,12.770000457763672,43821440,0.0,0.0,0.0,63.19,53.39,4.78,3.77,7.52
2026-03-13,12.56999969482422,12.899999618530272,12.489999771118164,12.84000015258789,38320670,0.0,0.0,0.0,72.18,59.66,4.39,4.41,7.67
2026-03-16,13.029999732971191,13.119999885559082,12.829999923706056,13.0,35886440,0.0,0.0,0.0,79.38,66.23,2.93,5.6,7.83
2026-03-17,13.229999542236328,13.479999542236328,13.199999809265137,13.229999542236328,54720400,0.0,0.0,0.0,82.61,71.69,2.57,6.77,8.47
2026-03-18,13.56999969482422,13.770000457763672,13.5,13.68000030517578,55151530,0.0,0.0,0.0,87.25,76.88,4.4,8.61,10.67
2026-03-19,13.579999923706056,13.979999542236328,13.550000190734863,13.770000457763672,93447010,0.0,0.0,0.0,88.99,80.91,3.5,8.03,9.98
2026-03-20,13.949999809265137,13.970000267028809,13.420000076293944,13.670000076293944,99476370,0.0,0.0,0.0,88.09,83.31,1.48,6.09,8.35
2026-03-23,13.130000114440918,13.34000015258789,13.039999961853027,13.100000381469728,121520400,0.0,0.0,0.0,74.7,80.44,-2.89,0.31,3.34
2026-03-24,13.4399995803833,13.449999809265137,12.670000076293944,12.859999656677246,98568340,0.0,0.0,0.0,58.08,72.98,-4.14,-2.26,1.11
2026-03-25,13.369999885559082,13.56999969482422,13.350000381469728,13.5600004196167,64601230,0.0,0.0,0.0,62.66,69.54,1.25,2.36,6.14
2026-03-26,13.75,13.989999771118164,13.56999969482422,13.56999969482422,93500490,0.0,0.0,0.0,64.5,67.86,1.63,1.82,5.88
2026-03-27,13.220000267028809,13.510000228881836,13.109999656677246,13.479999542236328,91978780,0.0,0.0,0.0,63.45,66.39,1.25,0.66,4.94
2026-03-30,13.109999656677246,13.289999961853027,12.979999542236328,13.260000228881836,92239170,0.0,0.0,0.0,57.2,63.33,-0.64,-1.18,3.07
2026-03-31,13.0600004196167,13.109999656677246,12.449999809265137,12.489999771118164,162929000,0.0,0.0,0.0,39.0,55.22,-5.89,-6.4,-2.93
2026-04-01,13.140000343322754,13.229999542236328,13.010000228881836,13.220000267028809,73558800,0.0,0.0,0.0,42.67,51.03,0.12,-0.59,2.11
2026-04-02,13.449999809265137,13.529999732971191,12.93000030517578,12.949999809265137,82785100,0.0,0.0,0.0,39.27,47.11,-0.99,-2.01,-0.24
2026-04-07,13.3100004196167,13.489999771118164,13.279999732971191,13.43000030517578,70793910,0.0,0.0,0.0,47.39,47.2,2.75,1.8,3.0
2026-04-08,14.15999984741211,14.40999984741211,14.140000343322754,14.390000343322754,103224700,0.0,0.0,0.0,64.59,53.0,8.23,8.02,9.09
2026-04-09,14.539999961853027,14.8100004196167,14.40999984741211,14.460000038146973,115788400,0.0,0.0,0.0,71.45,59.15,5.62,7.26,8.57
2026-04-10,14.90999984741211,14.90999984741211,14.619999885559082,14.90999984741211,101837600,0.0,0.0,0.0,80.97,66.42,6.29,9.5,11.0
2026-04-13,14.899999618530272,15.06999969482422,14.829999923706056,14.9399995803833,186992500,0.0,0.0,0.0,85.66,72.83,3.56,8.63,10.34
2026-04-14,15.4399995803833,15.4399995803833,15.079999923706056,15.100000381469728,164777800,0.0,0.0,0.0,86.65,77.44,2.3,8.52,10.59
2026-04-15,15.390000343322754,15.539999961853027,15.270000457763672,15.31999969482422,102778800,0.0,0.0,0.0,88.29,81.05,2.5,8.49,11.26
2026-04-16,15.5600004196167,15.68000030517578,15.4399995803833,15.68000030517578,76394960,0.0,0.0,0.0,92.19,84.77,3.23,8.59,12.87
2026-04-17,15.75,16.209999084472656,15.75,16.06999969482422,216931300,0.0,0.0,0.0,93.2,87.58,4.2,9.13,14.69
2026-04-20,16.34000015258789,16.899999618530273,16.280000686645508,16.790000915527344,352749100,0.0,0.0,0.0,94.14,89.77,6.32,11.13,18.55
2026-04-21,17.290000915527344,17.329999923706055,16.719999313354492,16.8700008392334,420941500,0.0,0.0,0.0,90.84,90.12,4.48,9.17,17.79
2026-04-22,16.969999313354492,17.219999313354492,16.940000534057617,17.059999465942383,188898200,0.0,0.0,0.0,90.57,90.27,3.43,8.52,17.49
2026-04-23,17.579999923706055,17.700000762939453,16.149999618530273,16.65999984741211,487531400,0.0,0.0,0.0,81.64,87.39,-0.18,4.52,13.25
2026-04-24,17.079999923706055,17.200000762939453,16.649999618530273,16.93000030517578,245107600,0.0,0.0,0.0,77.96,84.25,0.4,4.88,13.78
2026-04-27,17.34000015258789,17.350000381469727,16.700000762939453,16.829999923706055,260730300,0.0,0.0,0.0,73.37,80.62,-0.24,3.06,11.89
2026-04-28,16.899999618530273,17.06999969482422,16.739999771118164,17.040000915527344,124556400,0.0,0.0,0.0,72.51,77.92,0.8,3.12,11.96
2026-04-29,16.920000076293945,17.15999984741211,16.770000457763672,17.079999923706055,93088560,0.0,0.0,0.0,71.08,75.64,1.02,2.27,10.83
2026-04-30,17.270000457763672,17.459999084472656,17.209999084472656,17.3799991607666,119956300,0.0,0.0,0.0,73.84,75.04,1.92,3.02,11.02
2026-05-04,17.889999389648438,18.049999237060547,17.59000015258789,18.049999237060547,110465800,0.0,0.0,0.0,82.56,77.55,4.48,5.75,13.54
2026-05-05,18.040000915527344,18.059999465942383,17.760000228881836,18.020000457763672,120770100,0.0,0.0,0.0,87.67,80.92,2.89,4.82,11.58
2026-05-06,18.299999237060547,18.32999992370605,17.489999771118164,18.0,149689400,0.0,0.0,0.0,86.74,82.86,1.66,4.02,9.9
2026-05-07,18.18000030517578,18.18000030517578,17.959999084472656,18.040000915527344,120237000,0.0,0.0,0.0,85.4,83.71,0.79,3.66,8.93
2026-05-08,17.8700008392334,18.059999465942383,17.459999084472656,17.65999984741211,95991720,0.0,0.0,0.0,76.57,81.33,-1.64,0.9,5.61
2026-05-11,17.84000015258789,18.5,17.81999969482422,18.5,105503700,0.0,0.0,0.0,84.38,82.34,2.53,4.76,9.46
2026-05-12,19.020000457763672,19.06999969482422,18.59000015258789,18.670000076293945,125375000,0.0,0.0,0.0,83.79,82.83,2.73,4.63,9.26
2026-05-13,18.26000022888184,18.39999961853028,18.0,18.25,126018400,0.0,0.0,0.0,74.5,80.05,0.14,1.59,5.83
2026-05-14,18.6299991607666,18.65999984741211,18.209999084472656,18.239999771118164,61482720,0.0,0.0,0.0,65.81,75.3,-0.13,0.88,4.88
2026-05-15,18.420000076293945,18.43000030517578,17.3799991607666,17.420000076293945,155930800,0.0,0.0,0.0,44.66,65.09,-4.37,-3.68,-0.33
2026-05-18,16.969999313354492,17.299999237060547,16.739999771118164,17.290000915527344,81874500,0.0,0.0,0.0,37.64,55.94,-3.81,-3.99,-1.42
2026-05-19,17.1299991607666,17.299999237060547,16.75,16.75,73187310,0.0,0.0,0.0,25.24,45.71,-4.78,-6.33,-4.49
2026-05-20,16.809999465942383,16.969999313354492,16.600000381469727,16.68000030517578,49075708,0.0,0.0,0.0,17.91,36.44,-3.45,-6.03,-4.84
2026-05-21,17.399999618530273,17.68000030517578,17.350000381469727,17.670000076293945,58113544,0.0,0.0,0.0,26.38,33.09,2.96,-0.24,0.64
2026-05-22,18.100000381469727,18.299999237060547,18.020000457763672,18.280000686645508,87389189,0.0,0.0,0.0,40.26,35.48,5.46,2.84,3.63
2026-05-25,18.76000022888184,18.979999542236328,18.729999542236328,18.850000381469727,95005384,0.0,0.0,0.0,58.35,43.1,6.82,5.84,6.29
2026-05-26,18.979999542236328,18.989999771118164,18.540000915527344,18.920000076293945,86108032,0.0,0.0,0.0,71.26,52.49,4.65,6.08,6.06
2026-05-27,19.280000686645508,19.40999984741211,18.61000061035156,18.75,165989382,0.0,0.0,0.0,73.01,59.33,1.38,4.84,4.6
2026-05-28,18.799999237060547,18.8799991607666,17.8700008392334,18.010000228881836,152097068,0.0,0.0,0.0,65.4,61.35,-2.97,0.83,0.21
2026-05-29,18.420000076293945,18.450000762939453,18.200000762939453,18.350000381469727,105625764,0.0,0.0,0.0,64.36,62.35,-1.22,2.2,1.83
2026-06-01,18.489999771118164,18.739999771118164,18.489999771118164,18.56999969482422,83319790,0.0,0.0,0.0,66.27,63.66,0.27,2.69,2.9
2026-06-02,18.56999969482422,18.6200008392334,17.8700008392334,18.13999938964844,77978779,0.0,0.0,0.0,56.97,61.43,-1.22,-0.45,0.49
2026-06-03,18.559999465942383,18.700000762939453,18.440000534057617,18.520000457763672,80209461,0.0,0.0,0.0,52.05,58.3,1.1,0.62,2.44
2026-06-04,18.34000015258789,18.420000076293945,18.15999984741211,18.200000762939453,54686385,0.0,0.0,0.0,41.84,52.81,-0.85,-1.4,0.63
2026-06-05,17.93000030517578,18.25,17.280000686645508,17.93000030517578,68075387,0.0,0.0,0.0,38.07,47.9,-1.87,-2.68,-0.94
2026-06-08,16.489999771118164,17.549999237060547,16.479999542236328,17.520000457763672,69030119,0.0,0.0,0.0,37.21,44.34,-3.0,-4.22,-2.94
2026-06-09,17.719999313354492,18.290000915527344,17.649999618530273,18.290000915527344,72729712,0.0,0.0,0.0,49.94,46.21,1.09,0.34,1.43
2026-06-10,18.149999618530273,18.40999984741211,17.440000534057617,17.469999313354492,71220899,0.0,0.0,0.0,47.9,46.77,-2.3,-3.48,-2.9
2026-06-11,17.459999084472656,17.670000076293945,16.65999984741211,17.280000686645508,65411619,0.0,0.0,0.0,43.73,45.76,-2.36,-4.14,-3.7
