date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2026-03-25,254.1000061035156,255.0,251.6000061035156,252.6199951171875,28476700,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2026-03-26,252.1199951171875,257.0,250.7700042724609,252.88999938964844,41796700,0.0,0.0,50.0,50.0,0.05,0.05,0.05
2026-03-27,253.8999938964844,255.4900054931641,248.07000732421875,248.8000030517578,47900000,0.0,0.0,50.0,50.0,-1.05,-1.05,-1.05
2026-03-30,250.07000732421875,250.8699951171875,245.509994506836,246.6300048828125,39446200,0.0,0.0,50.0,50.0,-1.44,-1.44,-1.44
2026-03-31,247.9100036621093,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0,0.0,50.0,50.0,1.13,1.13,1.13
2026-04-01,254.0800018310547,256.17999267578125,253.3300018310547,255.6300048828125,40059400,0.0,0.0,50.0,50.0,1.62,1.55,1.55
2026-04-02,254.1999969482422,256.1300048828125,250.6499938964844,255.9199981689453,31289400,0.0,0.0,50.0,50.0,1.49,1.42,1.42
2026-04-06,256.510009765625,262.1600036621094,256.4599914550781,258.8599853515625,29329900,0.0,0.0,50.0,50.0,1.85,2.26,2.26
2026-04-07,256.1600036621094,256.20001220703125,245.6999969482422,253.5,62148000,0.0,0.0,49.33,49.78,-0.8,0.13,0.13
2026-04-08,258.45001220703125,259.75,256.5299987792969,258.8999938964844,41032800,0.0,0.0,59.69,53.08,0.91,2.03,2.03
2026-04-09,259.0,261.1199951171875,256.07000732421875,260.489990234375,28121600,0.0,0.0,69.79,58.65,1.15,2.34,2.41
2026-04-10,259.9800109863281,262.19000244140625,259.0199890136719,260.4800109863281,31291500,0.0,0.0,76.44,64.58,0.79,2.03,2.2
2026-04-13,259.7300109863281,260.17999267578125,256.6600036621094,259.20001220703125,36234700,0.0,0.0,78.25,69.14,0.27,1.12,1.56
2026-04-14,259.25,261.92999267578125,257.19000244140625,258.8299865722656,48370700,0.0,0.0,78.71,72.33,-0.29,0.49,1.32
