date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.112857,263.062137504367,264.81436640389785,263.24108719651605,263.3357630786792,1231822,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.112857,257.98842943781705,262.50686615735754,257.39850071712357,259.86237316772684,4207176,50.0,50.0,-0.66,-0.66,-0.66
2026-05-10 01:20:38.112857,260.29649428645195,261.5201338436803,259.9869562619147,260.3727567976312,5862051,50.0,50.0,-0.31,-0.31,-0.31
2026-05-11 01:20:38.112857,258.11393419778676,260.91993452510457,257.4373775393656,258.90316550737936,5050236,50.0,50.0,-0.66,-0.66,-0.66
2026-05-12 01:20:38.112857,257.3644825272819,258.1459799230085,255.1917665400323,257.70418823981083,7371286,50.0,50.0,-0.9,-0.9,-0.9
2026-05-13 01:20:38.112857,255.42196797653128,259.4089241164402,255.5410328733979,256.6093486041012,5285168,50.0,50.0,-0.8,-1.1,-1.1
2026-05-14 01:20:38.112857,257.5264218418122,258.4440989308973,256.03810839415587,258.27840206286817,2449094,50.0,50.0,-0.04,-0.39,-0.39
2026-05-15 01:20:38.112857,253.24479604835528,254.87855378210332,250.94403819886566,253.8382260523362,3836305,50.0,50.0,-1.26,-1.85,-1.85
2026-05-16 01:20:38.112857,252.27200658892446,254.02651661782002,250.98366898242122,253.1349729169246,2551418,38.6,46.2,-1.09,-1.89,-1.89
2026-05-17 01:20:38.112857,253.1344493711766,255.3834968276193,253.11228456491182,253.8145102205047,2173984,34.01,42.14,-0.52,-1.46,-1.46
2026-05-18 01:20:38.112857,252.97231789238066,255.19273967150775,251.20566834786098,254.13048250543073,6905903,32.71,39.0,-0.2,-0.99,-1.22
2026-05-19 01:20:38.112857,256.2989941128299,258.02999580551153,254.24460878711997,256.8530743450353,8042960,41.55,39.85,0.98,0.19,-0.15
2026-05-20 01:20:38.112857,255.5865587793795,256.5795650723662,254.6007024431059,256.5045925012946,2920278,49.6,43.1,0.63,0.21,-0.26
2026-05-21 01:20:38.112857,254.99197489867774,256.969387354736,252.93142020412927,255.60497130585415,7350546,51.42,45.87,0.09,-0.02,-0.57
2026-05-22 01:20:38.112857,252.3235491493349,255.99897962151886,251.50084769898302,253.2007787771038,2910223,44.31,45.35,-0.81,-0.78,-1.41
2026-05-23 01:20:38.112857,252.1095628664486,253.35925433213686,251.03063788138104,253.32739162552647,1782515,40.75,43.82,-0.69,-0.6,-1.27
2026-05-24 01:20:38.112857,254.82460125109705,255.37048783015175,254.66826771174652,254.90726803503472,6661456,45.73,44.46,0.08,0.15,-0.62
2026-05-25 01:20:38.112857,252.8289441002468,254.81535516641813,253.7519833530571,254.04917322819253,4652328,44.86,44.59,-0.07,-0.2,-0.9
2026-05-26 01:20:38.112857,254.29230135864321,255.8741297949288,254.81068776762066,255.60174837452462,4398034,51.68,46.95,0.54,0.31,-0.28
2026-05-27 01:20:38.112857,255.20156119078973,257.4676945205068,256.0185490077736,257.0201520391091,5395876,62.98,52.29,0.8,0.74,0.26
2026-05-28 01:20:38.112857,257.03116266958915,260.60797728291453,255.17313211060812,257.6566161352241,5488228,65.04,56.54,0.71,0.85,0.62
2026-05-29 01:20:38.112857,255.9525267669695,258.91097371463025,255.37309554168147,256.6670638785607,1257493,62.98,58.69,0.18,0.47,0.3
2026-05-30 01:20:38.112857,254.95962671796178,257.6283602370024,256.5299062293586,256.93711656134445,1247755,62.54,59.97,0.06,0.56,0.47
2026-05-31 01:20:38.112857,254.3831921634454,257.62971139832894,254.12233815454414,255.0011217852446,1189314,55.52,58.49,-0.64,-0.17,-0.21
2026-06-01 01:20:38.112857,254.96659297609833,256.01395113474035,252.3556504894818,255.27150937163327,9482338,48.79,55.25,-0.4,-0.15,-0.06
2026-06-02 01:20:38.112857,254.921505462074,257.2377289790472,254.9851134142187,256.40804357929466,4126678,48.89,53.13,0.14,0.18,0.39
2026-06-03 01:20:38.112857,256.92392096996633,261.32609916630264,256.52457098505823,258.69502743321294,7430605,56.15,54.14,0.87,0.92,1.28
2026-06-04 01:20:38.112857,256.22369865418057,260.6837081123371,256.3397012078567,258.13628533659244,7266035,58.92,55.73,0.56,0.54,0.97
2026-06-05 01:20:38.112857,259.5217958194512,261.0098036608797,257.5487575467188,260.3736783096206,2255645,69.07,60.18,1.01,1.23,1.71
2026-06-06 01:20:38.112857,256.14195601976724,260.0683760822364,255.4802541329756,257.75614581400686,5671178,66.12,62.16,-0.2,0.18,0.61
