date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.108735,434.9392492452035,437.7976418701554,436.1142301070412,436.70726759613285,7131260,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.108735,432.7189646672124,436.54612383696946,433.66099353071223,433.7992704966293,7650283,50.0,50.0,-0.33,-0.33,-0.33
2026-05-10 01:20:38.108735,432.25044091171554,435.31168400471114,432.9636537933921,433.70197436633333,2989190,50.0,50.0,-0.24,-0.24,-0.24
2026-05-11 01:20:38.108735,434.9763646881841,438.4200948389305,433.2603576367012,435.9971792043057,7900510,50.0,50.0,0.22,0.22,0.22
2026-05-12 01:20:38.108735,437.1291012413732,439.6731476183582,438.51069656744977,438.86528755656076,2108208,50.0,50.0,0.7,0.7,0.7
2026-05-13 01:20:38.108735,437.034566664808,439.27440319145535,438.3219554568863,438.7586888814432,4341998,50.0,50.0,0.58,0.56,0.56
2026-05-14 01:20:38.108735,438.91587637977307,439.510540025698,436.73411445869766,439.2835735949501,2046745,50.0,50.0,0.45,0.58,0.58
2026-05-15 01:20:38.108735,436.12363199548736,438.867836481676,435.4580165149631,437.8386774766957,6701858,50.0,50.0,-0.07,0.22,0.22
2026-05-16 01:20:38.108735,435.6757159570724,438.9042092409505,434.44206144507217,436.8718014204601,4081045,52.75,50.92,-0.33,0.0,0.0
2026-05-17 01:20:38.108735,437.5002293065374,438.8413487455661,437.28054204882983,438.4240944003772,6623166,62.29,54.71,0.04,0.32,0.32
2026-05-18 01:20:38.108735,439.7739306969457,442.67816019306497,439.1922970395504,441.60983093452,9443143,71.2,60.21,0.64,0.94,0.95
2026-05-19 01:20:38.108735,440.5919573188975,443.61458884202847,439.69897983431855,441.3556678149467,7662418,73.53,64.65,0.49,0.7,0.82
2026-05-20 01:20:38.108735,442.2320324780726,443.5790821817339,440.2074965267834,442.79320425611496,3520079,79.37,69.55,0.59,0.82,1.06
2026-05-21 01:20:38.108735,438.9979647537144,441.26111586644777,437.60613105785905,439.4889703650303,7076600,71.25,70.12,-0.28,-0.01,0.28
2026-05-22 01:20:38.108735,441.3629297743958,443.62126422673936,441.2086346322162,442.5050031445479,5581337,76.78,72.34,0.22,0.59,0.91
2026-05-23 01:20:38.108735,443.6478746493823,447.6522521954179,443.5972834198024,445.2626096858713,9386420,78.49,74.39,0.67,1.07,1.44
2026-05-24 01:20:38.108735,444.47263309794397,447.76701696721506,444.04822186362,445.85351375766965,5934882,80.87,76.55,0.6,1.05,1.48
2026-05-25 01:20:38.108735,446.4391027812938,449.8175182824496,446.46623376418813,446.899870058073,9070317,79.49,77.53,0.65,1.08,1.62
2026-05-26 01:20:38.108735,445.27693357220585,447.40829174059087,444.2615931996565,445.71117429140736,9474023,75.12,76.73,0.1,0.61,1.28
2026-05-27 01:20:38.108735,443.28993439026493,446.73261954310374,442.41260160364317,443.7879110893449,9103592,66.95,73.47,-0.38,0.06,0.8
2026-05-28 01:20:38.108735,442.90398050879674,445.9888031184585,443.4568921716826,443.77437658265654,2639840,61.47,69.47,-0.32,0.01,0.71
2026-05-29 01:20:38.108735,442.82885497939145,446.1177785575087,442.5783598933799,444.1443284693085,6561002,58.83,65.92,-0.16,0.03,0.68
2026-05-30 01:20:38.108735,444.3644443995008,447.3737703560851,444.53669387204764,445.08324175715086,7882865,54.22,62.02,0.13,0.19,0.76
2026-05-31 01:20:38.108735,445.48151655934566,446.3636357935761,443.7535160876197,445.8183146234731,4973531,51.48,58.51,0.29,0.21,0.82
2026-06-01 01:20:38.108735,445.6316619168358,447.48299929673965,443.85243858747356,446.5399841165632,3145314,52.9,56.64,0.33,0.28,0.89
2026-06-02 01:20:38.108735,440.53291452648887,445.1515111139938,440.8970427444585,442.39271380529124,4774833,40.85,51.38,-0.54,-0.59,-0.09
2026-06-03 01:20:38.108735,440.6080860628581,442.958399168083,442.0194331008415,442.13864015638364,8294897,33.52,45.42,-0.51,-0.56,-0.18
2026-06-04 01:20:38.108735,439.74679680199546,443.0731172988063,437.8215958147751,440.3204009141004,8265242,30.97,40.61,-0.7,-0.82,-0.61
2026-06-05 01:20:38.108735,438.1777941875504,440.4660152873182,437.6827254981673,439.4961710136377,8362437,26.81,36.01,-0.61,-0.87,-0.83
2026-06-06 01:20:38.108735,442.19317879311467,444.47493269967833,441.72147791577623,443.26957492661995,3941321,36.88,36.3,0.4,-0.01,-0.03
