date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2024-04-25,149.14999389648438,155.13999938964844,146.75,153.75999450683594,41471400,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-04-26,154.24000549316406,158.6300048828125,153.42999267578125,157.39999389648438,42510700,0.0,0.0,50.0,50.0,1.17,1.17,1.17
2024-04-29,159.0800018310547,160.77000427246094,156.25999450683594,160.1999969482422,43478200,0.0,0.0,50.0,50.0,1.96,1.96,1.96
2024-04-30,160.6300048828125,162.2899932861328,158.35000610351562,158.3800048828125,60742800,0.0,0.0,50.0,50.0,0.6,0.6,0.6
2024-05-01,148.11000061035156,151.3699951171875,142.13999938964844,144.27000427246094,89413200,0.0,0.0,50.0,50.0,-6.8,-6.8,-6.8
2024-05-02,145.50999450683594,147.6199951171875,141.16000366210938,146.16000366210938,50034700,0.0,0.0,50.0,50.0,-4.65,-4.7,-4.7
2024-05-03,148.75,150.7899932861328,147.24000549316406,150.60000610351562,49361100,0.0,0.0,50.0,50.0,-0.87,-1.55,-1.55
2024-05-06,153.10000610351562,156.64999389648438,151.25999450683594,155.77999877929688,44624500,0.0,0.0,50.0,50.0,3.14,1.61,1.61
2024-05-07,156.32000732421875,157.6999969482422,153.66000366210938,154.42999267578125,37374900,0.0,0.0,54.27,51.42,2.78,0.64,0.64
2024-05-08,153.39999389648438,155.3300018310547,152.52000427246094,153.6199951171875,28728000,0.0,0.0,55.83,52.89,0.99,0.1,0.1
2024-05-09,153.1300048828125,154.08999633789062,150.61000061035156,152.38999938964844,33018000,0.0,0.0,54.94,53.57,-0.64,-0.61,-0.63
2024-05-10,154.2899932861328,156.3699951171875,151.30999755859375,151.9199981689453,37652800,0.0,0.0,53.6,53.58,-1.11,-0.56,-0.86
2024-05-13,151.27999877929688,153.3300018310547,150.39999389648438,150.55999755859375,27859200,0.0,0.0,54.68,53.95,-1.33,-0.82,-1.62
2024-05-14,150.42999267578125,153.49000549316406,148.77999877929688,153.16000366210938,31938300,0.0,0.0,60.64,56.18,0.54,1.24,0.08
2024-05-15,155.58999633789062,159.69000244140625,154.6999969482422,159.6699981689453,43195900,0.0,0.0,73.7,62.02,3.99,4.48,4.03
2024-05-16,160.9199981689453,168.05999755859375,159.89999389648438,162.6199951171875,76726700,0.0,0.0,73.06,65.7,4.52,5.27,5.56
2024-05-17,168.42999267578125,169.72000122070312,162.32000732421875,164.47000122070312,65944400,0.0,0.0,73.69,68.36,4.03,5.52,6.34
2024-05-20,165.5500030517578,168.49000549316406,164.47000122070312,166.3300018310547,45618000,0.0,0.0,77.06,71.26,3.15,6.0,7.09
2024-05-21,164.0,165.8300018310547,163.10000610351562,164.66000366210938,30005500,0.0,0.0,76.65,73.06,0.68,4.25,5.68
2024-05-22,167.41000366210938,169.80999755859375,163.86000061035156,165.52000427246094,47426700,0.0,0.0,77.64,74.58,0.49,4.02,5.9
2024-05-23,170.17999267578125,173.13999938964844,158.27000427246094,160.42999267578125,91888800,0.0,0.0,67.7,72.29,-2.34,0.31,2.43
2024-05-24,161.41000366210938,167.66000366210938,160.25,166.36000061035156,54868600,0.0,0.0,69.19,71.26,1.03,3.09,5.91
2024-05-28,169.4199981689453,174.5500030517578,164.9600067138672,171.61000061035156,66495400,0.0,0.0,74.52,72.34,3.56,4.97,8.86
2024-05-29,167.4600067138672,168.47999572753906,162.91000366210938,165.13999938964844,56537500,0.0,0.0,63.75,69.48,-0.41,0.28,4.53
2024-05-30,167.89999389648438,168.75,163.8000030517578,166.75,46367000,0.0,0.0,59.86,66.27,0.42,0.82,4.8
2024-05-31,166.64999389648438,169.5,160.07000732421875,166.89999389648438,64331900,0.0,0.0,57.58,63.37,-0.27,0.65,4.22
2024-06-03,170.82000732421875,171.0800018310547,160.91000366210938,163.5500030517578,59157600,0.0,0.0,49.2,58.65,-1.94,-1.31,1.71
2024-06-04,162.83999633789062,164.8300018310547,158.8699951171875,159.99000549316406,48157200,0.0,0.0,36.32,51.2,-2.72,-3.09,-0.63
2024-06-05,162.07000732421875,167.1199951171875,161.3800048828125,166.1699981689453,60507500,0.0,0.0,40.39,47.6,0.91,0.56,2.83
2024-06-06,165.4600067138672,169.50999450683594,163.86000061035156,166.77999877929688,47153700,0.0,0.0,43.74,46.31,1.28,0.85,2.79
2024-06-07,166.58999633789062,169.4499969482422,165.86000061035156,167.8699951171875,44796000,0.0,0.0,48.29,46.97,1.82,1.06,2.97
2024-06-10,162.47999572753906,165.5500030517578,159.61000061035156,160.33999633789062,67444600,0.0,0.0,36.21,43.38,-2.37,-3.12,-1.9
2024-06-11,160.5,161.5399932861328,156.9199981689453,158.9600067138672,40497100,0.0,0.0,28.94,38.57,-3.09,-3.22,-2.99
2024-06-12,160.32000732421875,162.24000549316406,158.6199951171875,160.24000549316406,48325800,0.0,0.0,27.11,34.75,-1.6,-2.15,-2.42
2024-06-13,160.39999389648438,162.66000366210938,157.30999755859375,159.89999389648438,44442500,0.0,0.0,25.09,31.53,-0.97,-1.94,-2.64
2024-06-14,158.5,161.33999633789062,157.61000061035156,159.6300048828125,34054000,0.0,0.0,23.9,28.99,-0.12,-1.67,-2.71
2024-06-17,158.0,159.22999572753906,154.13999938964844,158.39999389648438,44507700,0.0,0.0,25.17,27.72,-0.64,-2.12,-3.28
2024-06-18,156.99000549316406,157.24000549316406,153.33999633789062,154.6300048828125,51852000,0.0,0.0,19.44,24.96,-2.48,-4.13,-5.25
2024-06-20,155.82000732421875,166.82000732421875,155.5,161.77999877929688,93245700,0.0,0.0,30.42,26.78,1.83,0.58,-0.78
2024-06-21,161.75,163.1999969482422,157.88999938964844,161.22999572753906,61293900,0.0,0.0,39.79,31.12,1.32,0.58,-0.98
2024-06-24,159.75,163.39999389648438,158.19000244140625,160.25,45954100,0.0,0.0,43.62,35.28,0.62,0.45,-1.58
2024-06-25,160.72999572753906,161.0,156.4499969482422,160.25,40572300,0.0,0.0,46.16,38.91,0.39,0.45,-1.4
2024-06-26,160.60000610351562,160.74000549316406,156.0,157.5399932861328,36973400,0.0,0.0,41.16,39.66,-1.67,-1.16,-2.64
2024-06-27,157.17999267578125,160.61000061035156,156.80999755859375,159.47000122070312,34018200,0.0,0.0,42.6,40.64,-0.17,0.1,-1.28
2024-06-28,160.22999572753906,166.4499969482422,159.41000366210938,162.2100067138672,56204600,0.0,0.0,50.33,43.87,1.42,1.67,0.56
2024-07-01,161.25,161.50999450683594,153.63999938964844,157.69000244140625,50436700,0.0,0.0,44.31,44.02,-1.09,-1.04,-1.96
2024-07-02,157.0399932861328,164.5800018310547,156.6999969482422,164.30999755859375,57838600,0.0,0.0,56.53,48.19,2.54,2.73,2.13
2024-07-03,164.1999969482422,165.25999450683594,162.50999450683594,163.89999389648438,26980900,0.0,0.0,64.38,53.59,1.48,1.89,1.75
