date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2024-04-25,26.67738819126282,28.277489477072383,25.85473759840912,28.22324752807617,467300,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-04-26,29.57926544227418,30.510396437427183,29.00069847641092,30.14879035949707,622000,0.0,0.0,0.0,50.0,50.0,3.3,3.3,3.3
2024-04-29,31.17937223336506,31.414413812159623,30.04935734803557,30.56464385986328,853600,0.0,0.0,0.0,50.0,50.0,3.1,3.1,3.1
2024-04-30,30.60983854088077,30.89912202626576,28.530610472211364,28.801815032958984,1438000,0.0,0.0,0.0,50.0,50.0,-2.15,-2.15,-2.15
2024-05-01,30.664078122659465,31.8121735045847,29.019683911920502,29.741989135742188,1189600,0.0,0.0,0.0,50.0,50.0,0.83,0.83,0.83
2024-05-02,30.44711119769007,31.81216720681908,30.17590840531358,31.72176742553711,501900,0.0,0.0,0.0,50.0,50.0,5.05,6.21,6.21
2024-05-03,32.45402284902622,32.747823905734045,31.94325400880944,32.200897216796875,350300,0.0,0.0,0.0,50.0,50.0,5.21,6.62,6.62
2024-05-06,32.20089638606772,33.04162755855437,31.739851927864247,33.032588958740234,551000,0.0,0.0,0.0,50.0,50.0,6.21,8.11,8.11
2024-05-07,33.09586893730202,33.45747154871376,32.55345984738798,33.05970764160156,351500,0.0,0.0,0.0,64.92,54.97,3.47,7.22,7.22
2024-05-08,32.53538337569703,32.909642104120834,32.24609645215462,32.78850555419922,125500,0.0,0.0,0.0,72.09,60.68,0.7,5.67,5.67
2024-05-09,33.13202728375216,34.06315814970311,32.60769888836148,33.321868896484375,490600,0.0,0.0,0.0,76.93,66.09,1.34,5.66,6.67
2024-05-10,33.19530334444998,33.42040270427333,32.37355653327026,32.571533203125,226000,0.0,0.0,0.0,75.63,69.27,-1.16,2.49,3.9
2024-05-13,32.725223300119964,32.788503841439955,31.849234387584765,32.26417541503906,306400,0.0,0.0,0.0,71.86,70.14,-1.64,0.98,2.69
2024-05-14,31.31497073420201,32.63482724135557,31.23360952767711,32.3907470703125,496300,0.0,0.0,0.0,66.9,69.06,-0.85,0.25,2.87
