date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d
2025-01-14,15.2603116745895,15.274631969819248,14.920451164245604,14.920451164245604,1100,0.0,0.0,0.0,50.0,50.0
2025-01-15,16.105190262900315,16.497556686401367,16.105190262900315,16.497556686401367,2900,0.0,0.0,0.0,50.0,50.0
2025-01-16,16.75435992959498,16.802094243369417,16.114734692040553,16.544334411621094,44200,0.0,0.0,0.0,50.0,50.0
2025-01-17,16.592068167346035,17.174414093571578,16.592068167346035,16.86796760559082,30700,0.0,0.0,0.0,50.0,50.0
2025-01-21,16.897561239071496,18.612138113892293,16.48705524040845,18.17967414855957,11400,0.0,0.0,0.0,50.0,50.0
2025-01-22,19.5419805059351,24.694305717360127,19.5419805059351,24.05754470825196,186800,0.0,0.0,0.0,50.0,50.0
2025-01-23,21.298563785335904,21.298563785335904,19.41214695555617,20.458459854125977,159800,0.0,0.0,0.0,50.0,50.0
2025-01-24,20.66848546744946,20.97397780733855,19.41787551819928,19.475154876708984,54800,0.0,0.0,0.0,50.0,50.0
2025-01-27,16.21020182906065,16.930974504281373,14.60636618155138,15.465564727783203,89900,0.0,0.0,0.0,36.17,45.39
2025-01-28,15.914257610125194,16.219749964971435,15.6450426089828,16.181564331054688,31600,0.0,0.0,0.0,29.32,40.03
2025-01-29,16.496603162089155,16.51569506816002,15.293725677479506,15.742417335510254,14600,0.0,0.0,0.0,23.3,34.46
2025-01-30,16.296122111584584,17.308065933730585,16.296122111584584,16.993026733398438,66900,0.0,0.0,0.0,23.42,30.78
2025-01-31,17.193506625179346,19.120973252403203,17.05985418748635,18.415477752685547,141400,0.0,0.0,0.0,28.2,29.92
2025-02-03,16.888015297512272,18.1386252665722,16.821189074712752,17.44649314880371,45800,0.0,0.0,0.0,28.18,29.34
2025-02-04,18.11953128627243,19.255582520602296,17.49899974211641,18.892810821533203,93000,0.0,0.0,0.0,40.14,32.94
2025-02-05,18.997822037083097,21.60405552748125,18.997822037083097,21.479949951171875,348900,0.0,0.0,0.0,59.5,41.79
2025-02-06,18.615956428001773,20.71621890720441,17.94769059710696,20.009765625,227400,0.0,0.0,0.0,65.41,49.67
2025-02-07,20.38685899498283,20.716219397246505,18.61595686836216,18.8068904876709,104400,0.0,0.0,0.0,62.16,53.83
2025-02-10,19.04555673480253,19.04555673480253,17.94769114740247,18.40593147277832,67200,0.0,0.0,0.0,57.88,55.18
2025-02-11,18.300917868582165,18.88994639708869,17.66129260413773,17.699480056762695,63000,0.0,0.0,0.0,47.4,52.59
2025-02-12,17.346253807487304,17.522866227796147,16.954841513355266,17.231693267822266,59900,0.0,0.0,0.0,34.46,46.55
2025-02-13,17.18396007081458,20.047953415950342,16.8784677386739,19.20784950256348,174100,0.0,0.0,0.0,39.61,44.23
