date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.109666,423.6864719637385,426.94931605156677,424.6247345893299,425.1421528966628,3372762,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.109666,425.0991864697389,427.3418586773647,424.1217470900345,427.0178084789558,5610847,50.0,50.0,0.22,0.22,0.22
2026-05-10 01:20:38.109666,425.9378450554447,426.7247406886822,424.2901557174837,426.23749307904717,1444119,50.0,50.0,0.02,0.02,0.02
2026-05-11 01:20:38.109666,425.3815634185346,426.738660795058,425.84663863403046,426.338948805921,8464256,50.0,50.0,0.04,0.04,0.04
2026-05-12 01:20:38.109666,424.58752436704066,429.19291614948634,424.0744079023788,426.4480091479542,5186770,50.0,50.0,0.05,0.05,0.05
2026-05-13 01:20:38.109666,424.809030450804,428.17732267214456,424.30500345175676,426.22134116331983,2668027,50.0,50.0,-0.05,-0.0,-0.0
2026-05-14 01:20:38.109666,426.72680026771354,427.68311372625726,425.42562361390424,427.3093559873617,4934104,50.0,50.0,0.19,0.22,0.22
2026-05-15 01:20:38.109666,425.99641277557527,427.61105035095454,425.12334309435283,426.076187260124,5007436,50.0,50.0,-0.09,-0.06,-0.06
2026-05-16 01:20:38.109666,425.3437876271627,428.7002189671212,425.94116835425393,426.36410509932864,2261602,48.24,49.41,-0.03,0.0,0.0
2026-05-17 01:20:38.109666,425.6109829868055,428.2804773312893,426.9338499402091,427.4275269066419,8495690,54.0,50.94,0.18,0.23,0.23
2026-05-18 01:20:38.109666,430.02461231377976,432.57774009310623,430.1730641346404,430.8318073199081,7789416,62.49,54.79,0.76,0.89,0.93
2026-05-19 01:20:38.109666,428.7271102706424,431.38823264359723,427.9361651425306,430.36756958231376,6593496,66.33,58.64,0.5,0.7,0.75
2026-05-20 01:20:38.109666,429.96121326210465,432.9140921398321,431.18354772833493,431.3477248190469,4598467,71.65,62.97,0.48,0.81,0.91
2026-05-21 01:20:38.109666,433.24807415709364,437.45913523348224,434.66913674478445,434.74305778493493,9412528,74.21,66.72,0.88,1.41,1.58
2026-05-22 01:20:38.109666,433.63547089512315,434.7992475182658,431.95576295207263,434.5072745611692,4799707,74.83,69.42,0.5,1.16,1.42
2026-05-23 01:20:38.109666,436.5619289832959,439.04150565907446,435.19455102914696,436.7680596621607,1046464,77.78,72.21,0.74,1.44,1.82
2026-05-24 01:20:38.109666,437.0175512312332,440.505900093038,437.54423060942986,438.8501340917779,1117811,81.4,75.27,0.83,1.65,2.17
2026-05-25 01:20:38.109666,437.7355354446579,440.2915810921643,435.72848983139517,438.6650289570024,2618024,83.08,77.87,0.45,1.31,2.01
2026-05-26 01:20:38.109666,437.20919310926274,439.002533032395,434.7736640623209,437.72027517994644,7615405,81.33,79.03,0.1,0.83,1.69
2026-05-27 01:20:38.109666,434.67843351344465,435.33294199522135,432.61408489907143,435.02069833220105,5703725,73.01,77.02,-0.55,0.03,1.01
2026-05-28 01:20:38.109666,436.33131572002395,439.0052512811648,437.5548858922432,437.72748253367024,9693707,72.07,75.37,0.03,0.49,1.49
2026-05-29 01:20:38.109666,438.5277502694753,441.34281234844315,439.1603222505141,440.5192599326045,4354381,78.46,76.4,0.59,0.9,1.98
2026-05-30 01:20:38.109666,438.3994538004652,441.65736045848143,437.8198993030633,439.9296070825619,9324407,79.7,77.5,0.4,0.57,1.68
2026-05-31 01:20:38.109666,440.2878906569166,441.36748101709196,438.07812918787965,440.71437207547336,3696499,82.99,79.33,0.44,0.61,1.69
2026-06-01 01:20:38.109666,438.5850319835481,442.86843009551586,436.961264034639,439.931780266458,7383233,79.11,79.26,0.04,0.31,1.35
2026-06-02 01:20:38.109666,440.4393920623199,443.545059204825,439.72517087951684,440.60342683598867,1348188,77.11,78.54,0.06,0.37,1.34
2026-06-03 01:20:38.109666,437.17420024325133,439.42589741390333,436.14048106121857,438.0431275190045,1612392,67.96,75.01,-0.41,-0.19,0.63
2026-06-04 01:20:38.109666,436.5024420167497,441.0140094866557,436.0031448866872,438.1636134584865,4234941,62.23,70.75,-0.3,-0.15,0.52
2026-06-05 01:20:38.109666,438.4001554109796,441.66682736633186,437.13630932513604,439.53318102573394,8261558,57.09,66.2,0.06,0.12,0.68
2026-06-06 01:20:38.109666,436.4728597335321,439.1524997373433,434.89927699221795,437.70525026249413,7940512,48.88,60.42,-0.25,-0.36,0.14
