date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2024-06-03,136.0568289047256,136.24075725122566,124.48885555078516,127.80919647216795,41199200,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-06-04,127.97374772396792,134.53699941368052,127.66398535785378,131.41993713378906,21568400,0.0,0.0,50.0,50.0,1.39,1.39,1.39
2024-06-05,131.60387598816416,134.9435816205877,128.69978156501531,133.25921630859375,19148600,0.0,0.0,50.0,50.0,1.86,1.86,1.86
2024-06-06,131.89429111617534,132.32990233447146,127.92535608061436,129.67750549316406,13929100,0.0,0.0,50.0,50.0,-0.66,-0.66,-0.66
2024-06-07,127.29613514846824,129.77429328685986,123.511128649587,125.81504821777344,19597600,0.0,0.0,50.0,50.0,-2.92,-2.92,-2.92
2024-06-10,124.8760538155441,131.129543319805,124.29522905219316,128.21575927734375,13994500,0.0,0.0,50.0,50.0,-1.13,-0.89,-0.89
2024-06-11,127.29613969674142,130.53905106509168,125.8634572413544,127.4316635131836,9176400,0.0,0.0,50.0,50.0,-1.12,-1.28,-1.28
2024-06-12,128.583633506772,128.69011756889643,125.94091149167022,127.5962371826172,11427900,0.0,0.0,50.0,50.0,-0.12,-1.01,-1.01
2024-06-13,127.77047910734852,131.83620832920312,127.5865507645976,130.70361328125,16066800,0.0,0.0,52.17,50.72,2.15,1.24,1.24
2024-06-14,129.10635518379294,131.19730674867492,127.09284791068306,130.66488647460938,12995300,0.0,0.0,55.64,52.36,1.35,1.09,1.09
2024-06-17,132.74618334919953,140.1129047109652,132.64937427692777,137.48953247070312,26911400,0.0,0.0,65.16,56.63,5.13,5.58,5.76
2024-06-18,138.98993964678832,149.21234809240323,138.71889205701714,144.38186645507812,33500100,0.0,0.0,70.51,61.25,7.61,9.78,10.04
2024-06-20,151.62280144938566,156.35647560778852,140.38395344776788,143.77206420898438,39976400,0.0,0.0,67.57,63.36,4.64,8.45,8.78
2024-06-21,141.11963709055382,142.4845651105799,136.14395555271128,140.4226531982422,16745500,0.0,0.0,61.81,62.84,0.77,5.07,5.77
2024-06-24,138.7285799369345,138.97058779106243,133.1623992919922,133.1623992919922,14015000,0.0,0.0,49.19,58.29,-4.78,-0.91,0.28
2024-06-25,134.8661641476369,137.21847375042643,133.2108236793488,135.8632354736328,8378100,0.0,0.0,43.67,53.42,-2.62,0.53,2.17
2024-06-26,134.09171105720046,136.79251211146396,130.77135573883328,133.82066345214844,12714100,0.0,0.0,36.77,47.87,-2.61,-1.45,0.59
2024-06-27,133.423784186093,137.295910208398,133.20114107568725,134.97262573242188,9483000,0.0,0.0,33.49,43.08,-0.5,-1.14,1.38
2024-06-28,135.06944236213053,137.2378383737176,131.85558526439203,133.50123596191406,20573600,0.0,0.0,25.88,37.35,-0.57,-2.42,0.26
2024-07-01,133.0849727804247,140.06448672486312,129.3580601916961,138.2542724609375,11565700,0.0,0.0,28.24,34.31,2.2,0.5,3.63
2024-07-02,135.7373665215638,138.95122314623038,135.44695414216335,138.8834686279297,7748200,0.0,0.0,30.59,33.07,2.21,0.86,3.67
2024-07-03,142.96856111418853,144.6916558399947,136.0955322040272,138.10903930664062,13173300,0.0,0.0,39.41,35.18,1.0,0.75,2.84
2024-07-05,137.65406680820092,138.19616204728274,133.8884251249495,134.5176544189453,8901200,0.0,0.0,37.49,35.95,-1.56,-1.2,0.12
2024-07-08,135.52439451448785,142.4167732802232,134.74996644877913,141.3035430908203,12355600,0.0,0.0,50.96,40.96,2.24,3.72,4.71
2024-07-09,141.3906644678951,145.4273536490007,139.23195857341616,141.08090209960938,11396900,0.0,0.0,58.29,46.74,1.66,2.96,3.96
2024-07-10,141.61333588832258,142.5232879532621,137.2959232355537,141.10997009277344,7387300,0.0,0.0,63.24,52.24,1.35,2.58,3.49
2024-07-11,140.90669011197218,141.7682377232694,134.96297613975514,136.22142028808594,8248900,0.0,0.0,56.4,53.62,-1.89,-1.14,-0.42
2024-07-12,135.13719405820814,137.01516263203024,133.10432213896354,135.108154296875,7376400,0.0,0.0,49.53,52.26,-2.78,-1.96,-1.5
2024-07-15,136.25041680334934,136.57954392767763,132.15564819977146,132.83326721191406,8064600,0.0,0.0,34.72,46.41,-3.23,-3.56,-3.23
2024-07-16,133.23986213687877,133.32698143146277,128.15769649229492,129.96791076660156,10254500,0.0,0.0,26.64,39.82,-3.76,-5.07,-5.3
2024-07-17,124.04355758522983,125.62145367941145,120.68448705072602,121.1685028076172,18887600,0.0,0.0,18.41,32.68,-7.55,-10.34,-11.18
2024-07-18,122.58183041196388,122.88192520944509,118.1288868355572,121.33306884765624,9659400,0.0,0.0,16.19,27.19,-5.27,-9.09,-10.3
2024-07-19,121.4008426789608,123.79187445186788,120.29727989504902,121.76869201660156,6932800,0.0,0.0,15.24,23.2,-2.91,-7.88,-9.24
2024-07-22,124.07258937219284,125.7182398856243,123.01743863504424,124.62437438964844,6255200,0.0,0.0,19.03,21.81,0.69,-4.52,-6.56
2024-07-23,123.31785524472647,124.48351931337372,121.76363401615968,122.24932861328124,5944600,0.445,0.0,18.5,20.71,0.02,-4.97,-7.97
2024-07-24,119.99570420238668,119.99570420238668,112.57429146114156,112.79771423339844,15611400,0.0,0.0,12.64,18.02,-6.43,-10.34,-14.34
2024-07-25,112.68113793620736,112.68113793620736,107.17336340368176,108.24188995361328,17363700,0.0,0.0,9.64,15.22,-8.22,-12.01,-16.99
2024-07-26,110.9812121284802,111.43776622192,108.35846434678116,110.31095123291016,8419900,0.0,0.0,10.42,13.62,-4.61,-8.48,-14.6
2024-07-29,111.0880797349608,112.1954629320505,107.77563870058547,108.01848602294922,7552200,0.0,0.0,8.47,11.9,-3.83,-8.5,-15.54
2024-07-30,109.096715713151,110.00982390787124,102.74382962860813,105.50257873535156,11938400,0.0,0.0,9.65,11.15,-3.19,-8.74,-16.44
2024-07-31,111.4766228305138,113.2639753396665,108.9898615245428,110.42752075195312,11327300,0.0,0.0,17.58,13.3,1.78,-3.58,-11.54
2024-08-01,109.69898749379558,111.91375378176214,104.4534841000732,105.3277359008789,8570000,0.0,0.0,15.47,14.02,-2.4,-6.73,-14.5
2024-08-02,98.790272246438,100.83019536257213,97.07091673522002,99.36339569091795,11832700,0.0,0.0,13.1,13.71,-6.02,-10.23,-18.18
2024-08-05,87.89129345615335,97.032061493815,87.5513013251387,95.37098693847656,13137800,0.0,0.0,16.77,14.73,-7.58,-11.5,-19.95
2024-08-06,95.83726657988916,96.42980720180172,90.66946867584424,91.96141815185548,15500600,0.0,0.0,16.9,15.45,-8.49,-12.19,-21.19
2024-08-07,87.78443737578168,90.36832857924315,84.44285643396208,85.3753890991211,21545500,0.0,0.0,12.34,14.42,-10.58,-16.29,-25.04
2024-08-08,87.20161148137674,89.07639306837011,85.91937794179816,88.84326171875,10242800,0.0,0.0,13.32,14.05,-3.62,-11.2,-20.34
2024-08-09,86.9199046879607,90.75688887860044,86.03593700122822,89.90206909179688,8405000,0.0,0.0,15.19,14.43,-0.43,-8.27,-17.72
2024-08-12,89.56207102330757,95.09899327615815,89.21237035844919,92.5442352294922,9875300,0.0,0.0,19.5,16.12,3.14,-4.06,-13.72
2024-08-13,94.32190082641364,98.58629931833325,93.80706567621245,97.08065032958984,14928400,0.0,0.0,28.33,20.19,6.98,1.53,-8.08
2024-08-14,98.16859158027218,101.38389491767634,97.4400496698836,100.0045166015625,12141000,0.0,0.0,49.51,29.96,6.76,5.74,-4.35
2024-08-15,103.9969160259048,107.78533504735816,102.39412991896482,107.05679321289062,17713200,0.0,0.0,65.3,41.74,10.01,12.99,3.1
2024-08-16,105.78428785691922,108.95101879871102,104.96831705589834,108.1156234741211,11632600,0.0,0.0,75.73,53.07,7.09,13.06,4.81
