date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2026-04-02,27.0,28.0,26.13999938964844,27.76000022888184,2530200,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2026-04-06,29.280000686645508,29.950000762939453,28.790000915527344,29.15999984741211,6320100,0.0,0.0,0.0,50.0,50.0,2.46,2.46,2.46
2026-04-07,29.06999969482422,29.459999084472656,28.3799991607666,29.440000534057617,4869600,0.0,0.0,0.0,50.0,50.0,2.27,2.27,2.27
2026-04-08,33.38999938964844,33.38999938964844,31.690000534057617,32.470001220703125,9442600,0.0,0.0,0.0,50.0,50.0,9.3,9.3,9.3
2026-04-09,31.5,32.45000076293945,30.82999992370605,32.380001068115234,10282900,0.0,0.0,0.0,50.0,50.0,7.07,7.07,7.07
2026-04-10,32.58000183105469,32.70000076293945,32.11000061035156,32.43000030517578,4864800,0.0,0.0,0.0,50.0,50.0,4.02,5.96,5.96
2026-04-13,32.349998474121094,33.58000183105469,32.060001373291016,33.54999923706055,5547900,0.0,0.0,0.0,50.0,50.0,4.67,8.13,8.13
2026-04-14,34.310001373291016,35.56999969482422,33.70000076293945,35.56999969482422,8770400,0.0,0.0,0.0,50.0,50.0,6.88,12.58,12.58
2026-04-15,34.630001068115234,34.68000030517578,33.689998626708984,34.470001220703125,7354200,0.0,0.0,0.0,62.78,54.26,2.35,8.01,8.01
2026-04-16,34.81999969482422,35.34000015258789,34.529998779296875,35.040000915527344,6114400,0.0,0.0,0.0,72.73,60.42,2.42,8.73,8.73
2026-04-17,35.70000076293945,35.970001220703125,35.2599983215332,35.59000015258789,5743800,0.0,0.0,0.0,80.15,66.99,2.14,7.82,9.4
2026-04-20,35.439998626708984,35.68000030517578,34.54999923706055,35.06999969482422,6581100,0.0,0.0,0.0,80.93,71.64,-0.22,4.37,7.1
2026-04-21,35.79999923706055,36.0,34.88999938964844,34.93000030517578,6938800,0.0,0.0,0.0,80.39,74.56,-0.26,2.28,6.13
2026-04-22,36.130001068115234,37.5,35.79999923706055,37.29999923706055,9861400,0.0,0.0,0.0,85.7,78.27,4.82,7.7,12.26
2026-04-23,36.7400016784668,37.34999847412109,35.810001373291016,36.36000061035156,11883700,0.0,0.0,0.0,83.48,80.01,1.42,3.79,8.75
2026-04-24,36.9900016784668,37.54999923706055,36.630001068115234,37.20000076293945,11151400,0.0,0.0,0.0,85.97,81.99,2.84,4.77,10.48
2026-04-27,38.31999969482422,39.34000015258789,38.0099983215332,38.56999969482422,11874200,0.0,0.0,0.0,86.1,83.36,4.61,7.11,13.58
2026-04-28,37.34999847412109,37.970001220703125,36.5099983215332,37.33000183105469,14534900,0.0,0.0,0.0,76.8,81.18,-0.06,3.16,9.33
2026-04-29,38.68999862670898,39.0,37.869998931884766,38.22999954223633,11287000,0.0,0.0,0.0,76.81,79.72,1.84,4.56,11.26
2026-04-30,39.209999084472656,39.43000030517578,38.20000076293945,39.33000183105469,9381500,0.0,0.0,0.0,83.86,81.1,3.14,6.32,13.64
2026-05-01,38.900001525878906,40.79999923706055,38.75,40.40999984741211,11751000,0.0,0.0,0.0,87.04,83.08,4.22,7.84,14.67
2026-05-04,42.150001525878906,43.43000030517578,41.90999984741211,42.470001220703125,29751300,0.0,0.0,0.0,87.17,84.44,7.37,11.14,18.28
2026-05-05,44.400001525878906,46.97999954223633,44.290000915527344,46.290000915527344,36056200,0.0,0.0,0.0,89.38,86.09,11.96,17.64,25.96
2026-05-06,48.650001525878906,48.9900016784668,46.34000015258789,48.68000030517578,47141000,0.0,0.0,0.0,92.1,88.09,12.07,20.24,29.61
2026-05-07,47.95000076293945,48.77999877929688,46.08000183105469,46.54999923706055,27480500,0.0,0.0,0.0,88.21,88.13,3.72,12.15,21.64
2026-05-08,49.0,52.79999923706055,48.900001525878906,52.79999923706055,41325400,0.0,0.0,0.0,92.14,89.47,11.49,22.6,34.4
2026-05-11,54.90999984741211,56.380001068115234,53.70000076293945,55.08000183105469,79681400,0.0,0.0,0.0,92.42,90.45,10.43,23.17,36.46
2026-05-12,52.02999877929688,52.970001220703125,48.31999969482422,51.29999923706055,69795100,0.0,0.0,0.0,85.63,88.85,0.82,11.25,24.67
2026-05-13,54.66999816894531,54.869998931884766,52.869998931884766,54.540000915527344,42539400,0.0,0.0,0.0,86.94,88.21,4.78,14.23,29.38
2026-05-14,53.470001220703125,55.09000015258789,53.150001525878906,53.790000915527344,28665300,0.0,0.0,0.0,85.33,87.25,0.54,9.35,24.83
2026-05-15,50.68999862670898,51.93000030517578,49.81999969482422,51.09999847412109,35031300,0.0,0.0,0.0,75.66,83.39,-3.88,1.67,16.49
2026-05-18,53.13999938964844,53.150001525878906,48.0099983215332,49.31999969482422,39079900,0.0,0.0,0.0,60.93,75.9,-5.17,-3.19,10.64
2026-05-19,47.400001525878906,51.04999923706055,46.43000030517578,49.77000045776367,37477400,0.0,0.0,0.0,52.56,68.12,-3.74,-2.97,9.82
2026-05-20,51.0,51.630001068115234,49.72999954223633,51.5099983215332,24755600,0.0,0.0,0.0,52.06,62.77,0.81,-0.13,11.9
2026-05-21,52.18000030517578,54.45000076293945,51.900001525878906,54.34000015258789,28100300,0.0,0.0,0.0,61.2,62.25,6.12,3.79,15.79
2026-05-22,53.66999816894531,54.290000915527344,52.720001220703125,52.81999969482422,21170400,0.0,0.0,0.0,65.4,63.3,2.46,0.88,10.71
2026-05-26,57.15999984741211,61.31999969482422,57.04999923706055,60.5099983215332,45481900,0.0,0.0,0.0,75.12,67.24,12.49,14.39,23.97
2026-05-27,62.43999862670898,62.68000030517578,59.04999923706055,60.72999954223633,42342100,0.0,0.0,0.0,79.41,71.3,8.48,12.79,21.51
2026-05-28,61.02999877929688,63.63999938964844,59.90999984741211,62.56999969482422,32036700,0.0,0.0,0.0,84.2,75.6,7.52,14.5,22.22
2026-05-29,63.459999084472656,64.29000091552734,62.15999984741211,63.20000076293945,27940100,0.0,0.0,0.0,87.43,79.54,5.39,13.7,20.64
2026-06-01,65.73999786376953,68.76000213623047,65.45999908447266,68.0,41728800,0.0,0.0,0.0,90.49,83.19,7.93,18.72,26.47
2026-06-02,68.1500015258789,70.1500015258789,67.05000305175781,69.56999969482422,42711300,0.0,0.0,0.0,92.71,86.37,7.34,17.31,26.21
2026-06-03,69.73999786376953,70.0199966430664,67.5,69.70999908447266,28084700,0.0,0.0,0.0,94.34,89.02,4.65,13.73,23.83
2026-06-04,64.7300033569336,67.12000274658203,63.18000030517578,65.69999694824219,48878900,0.0,0.0,0.0,87.71,88.59,-2.28,4.76,14.97
2026-06-05,60.81999969482422,61.16999816894531,55.380001068115234,55.790000915527344,77696100,0.0,0.0,0.0,59.4,78.86,-15.15,-11.25,-3.15
2026-06-08,60.720001220703125,61.61000061035156,58.95000076293945,60.52000045776367,44523400,0.0,0.0,0.0,51.2,69.64,-5.82,-4.89,4.36
2026-06-09,63.619998931884766,63.630001068115234,55.45000076293945,59.86000061035156,69995900,0.0,0.0,0.0,44.24,61.17,-3.94,-5.83,2.79
2026-06-10,58.11000061035156,61.25,57.06999969482422,57.369998931884766,40826400,0.0,0.0,0.0,33.99,52.11,-4.14,-9.27,-1.99
2026-06-11,59.61000061035156,65.1500015258789,59.15999984741211,65.12000274658203,47924400,0.0,0.0,0.0,44.64,49.62,9.02,2.58,10.25
2026-06-12,63.77000045776367,66.16999816894531,62.900001525878906,65.01000213623047,32323000,0.0,0.0,0.0,51.49,50.25,5.58,2.11,9.03
2026-06-15,69.63999938964844,71.18000030517578,68.76000213623047,71.06999969482422,36982900,0.0,0.0,0.0,67.43,55.97,11.59,11.1,17.23
2026-06-16,71.72000122070312,72.61000061035156,67.5999984741211,68.12000274658203,46558800,0.0,0.0,0.0,69.6,60.52,4.26,6.73,10.65
2026-06-17,71.75,73.13999938964844,69.61000061035156,69.94999694824219,41820000,0.0,0.0,0.0,73.75,64.93,3.09,9.55,11.79
2026-06-18,75.25,77.69999694824219,75.0,76.70999908447266,52595700,0.0,0.0,0.0,81.01,70.29,9.32,18.1,20.17
2026-06-22,80.68000030517578,81.33999633789062,79.06999969482422,80.72000122070312,56191600,0.0,0.0,0.0,86.54,75.71,10.1,19.68,23.89
2026-06-23,69.5199966430664,73.06999969482422,68.58999633789062,69.22000122070312,82041900,0.0,0.0,0.0,74.38,75.27,-5.11,1.32,4.92
