date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.110639,361.53439963280744,364.52068537780235,361.6948456322364,362.8355016773698,9785059,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.110639,364.2291881364446,365.6308081960696,361.6711184705658,364.54462611823215,7549315,50.0,50.0,0.23,0.23,0.23
2026-05-10 01:20:38.110639,360.4971035738786,365.32480771923366,362.2672912192505,362.45658185333707,1484737,50.0,50.0,-0.23,-0.23,-0.23
2026-05-11 01:20:38.110639,361.95810954727074,362.4517116778982,361.4399305961344,362.11526211784116,9448069,50.0,50.0,-0.24,-0.24,-0.24
2026-05-12 01:20:38.110639,363.35433155701185,364.7476052189166,361.3897208444302,363.37965802003004,8726715,50.0,50.0,0.09,0.09,0.09
2026-05-13 01:20:38.110639,366.768753117155,369.11327364177373,367.45605040557103,367.74452721359063,5044960,50.0,50.0,1.02,1.07,1.07
2026-05-14 01:20:38.110639,364.61921932013803,366.2483137333311,364.2145366646524,364.71654841808964,8069429,50.0,50.0,0.17,0.21,0.21
2026-05-15 01:20:38.110639,365.8810721058287,368.98672403808735,365.4464926421507,366.31142250513307,2689492,50.0,50.0,0.4,0.56,0.56
2026-05-16 01:20:38.110639,365.52911846120503,369.22639877869307,365.5450007405757,366.2290096457494,6935692,53.92,51.31,0.15,0.48,0.48
2026-05-17 01:20:38.110639,364.87259260849413,366.67531770285296,365.60515037104307,366.0301896266415,8179025,55.68,52.76,-0.05,0.38,0.38
2026-05-18 01:20:38.110639,366.4353238274309,369.93765181619614,366.5015931379172,367.81964568104775,6182109,62.2,55.91,0.44,0.74,0.79
2026-05-19 01:20:38.110639,368.8254575310241,369.3234732391045,368.41423120507227,368.84232550350777,3145836,70.53,60.78,0.49,0.9,0.98
2026-05-20 01:20:38.110639,369.43401483472877,370.7793051086307,366.9812460292738,369.63256825874083,8747817,76.28,65.95,0.52,0.91,1.11
2026-05-21 01:20:38.110639,371.7517969245905,374.0282074976269,372.1161452489145,372.30555875919373,7162455,78.34,70.08,0.92,1.36,1.7
2026-05-22 01:20:38.110639,369.5434731298693,373.04187225309266,368.5760317959842,370.65672734767287,7164715,74.11,71.42,0.22,0.71,1.17
2026-05-23 01:20:38.110639,368.8824609289188,371.00844614262803,369.19513388576195,370.40585257907924,8623299,68.67,70.5,0.01,0.57,1.03
2026-05-24 01:20:38.110639,367.363763971864,369.9437526226506,366.09539625095374,368.08373787239674,4578924,55.75,65.59,-0.58,-0.15,0.37
2026-05-25 01:20:38.110639,367.75454816268547,371.15502483654205,367.0687885982986,369.4097443530799,1239512,52.23,61.13,-0.21,0.13,0.69
2026-05-26 01:20:38.110639,370.4272838735486,373.5530913640194,370.52093369363416,371.1558176982281,2980478,56.08,59.45,0.33,0.47,1.11
2026-05-27 01:20:38.110639,370.5809662719033,375.28825980957185,372.22878845615935,372.5090832571192,4720250,60.64,59.85,0.59,0.66,1.4
2026-05-28 01:20:38.110639,369.88594377177606,370.12752494630934,367.727226852986,370.03559189031927,1652943,54.72,58.14,-0.05,-0.07,0.63
2026-05-29 01:20:38.110639,370.2419867513647,371.5586091685416,367.92990481172177,370.27753795478304,7800684,51.64,55.97,-0.11,-0.05,0.62
2026-05-30 01:20:38.110639,371.4974991798046,374.54710293183405,370.52151872356643,372.6201148694868,6432377,58.09,56.68,0.35,0.51,1.11
2026-05-31 01:20:38.110639,371.4586231426936,374.8424765490316,370.38724695675165,373.05050467842545,8422075,63.94,59.1,0.36,0.6,1.08
2026-06-01 01:20:38.110639,375.3111508732873,378.9604831631828,374.36050492667243,376.73051516699337,6615164,70.18,62.79,1.12,1.43,1.89
2026-06-02 01:20:38.110639,378.4356525950298,381.6365014893318,378.055510936477,379.5413626492932,1424520,75.33,66.97,1.36,1.93,2.49
2026-06-03 01:20:38.110639,378.8026651594097,382.7965975673111,379.17401989710885,380.03273990463816,2165555,77.44,70.46,0.97,1.74,2.41
2026-06-04 01:20:38.110639,382.4122376257087,383.82549757119887,383.1131211259773,383.5907286246087,7074844,84.47,75.13,1.32,2.3,3.13
2026-06-05 01:20:38.110639,381.52528906674024,383.83601754473153,380.3909906859603,381.96983763052884,2462895,85.79,78.68,0.42,1.58,2.48
2026-06-06 01:20:38.110639,379.6617863448683,384.2142087791048,380.72734076636266,381.64246879993414,5213498,85.26,80.88,0.08,1.25,2.18
