date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-12-29,210.0,210.98500061035156,208.8249969482422,209.50999450683594,5700,0.0,0.0,0.0
2025-12-30,209.50999450683594,212.35000610351562,208.1510009765625,209.49200439453125,5600,0.0,0.0,0.0
2025-12-31,209.30999755859375,209.30999755859375,206.28399658203125,206.28399658203125,4100,0.0,0.0,0.0
2026-01-02,207.3000030517578,209.1999969482422,198.0,199.52999877929688,18900,0.0,0.0,0.0
2026-01-05,203.5800018310547,204.38999938964844,201.69000244140625,201.69000244140625,10400,0.0,0.0,0.0
2026-01-06,203.6300048828125,204.55499267578125,200.95399475097656,204.13800048828125,8500,0.0,0.0,0.0
2026-01-07,204.52999877929688,211.0,204.52999877929688,207.15199279785156,6900,0.0,0.0,0.0
2026-01-08,203.47000122070312,203.58999633789062,201.86000061035156,203.00999450683594,5500,0.0,0.0,0.0
2026-01-09,203.00999450683594,205.9600067138672,201.51699829101562,205.55999755859375,12600,0.0,0.0,0.0
2026-01-12,202.77999877929688,208.0800018310547,202.77999877929688,206.10000610351562,15100,0.0,0.0,0.0
2026-01-13,206.0,206.47000122070312,202.7100067138672,205.4929962158203,8000,0.0,0.0,0.0
2026-01-14,202.9499969482422,202.9499969482422,195.7899932861328,198.35000610351562,22600,0.0,0.0,0.0
2026-01-15,201.99000549316406,202.29600524902344,197.56500244140625,198.75,7800,0.0,0.0,0.0
2026-01-16,200.8699951171875,201.10000610351562,195.697998046875,197.83999633789062,17900,0.0,0.0,0.0
2026-01-20,190.89999389648438,192.2830047607422,186.1300048828125,186.1300048828125,17600,0.0,0.0,0.0
2026-01-21,185.58999633789062,189.46099853515625,182.42100524902344,186.42999267578125,15400,0.0,0.0,0.0
2026-01-22,191.8800048828125,191.8800048828125,188.74000549316406,190.0800018310547,12900,0.0,0.0,0.0
2026-01-23,190.5800018310547,195.3000030517578,190.0,193.69000244140625,11100,0.0,0.0,0.0
2026-01-26,194.42999267578125,199.41000366210938,194.42999267578125,197.9499969482422,13800,0.0,0.0,0.0
2026-01-27,200.1999969482422,202.2100067138672,200.0,201.9499969482422,14700,0.0,0.0,0.0
2026-01-28,204.2899932861328,204.2899932861328,198.4600067138672,201.0,13800,0.0,0.0,0.0
2026-01-29,200.0,200.0,186.3300018310547,195.0,14200,0.0,0.0,0.0
2026-01-30,193.0,194.00999450683594,191.02499389648438,191.97999572753906,11100,0.0,0.0,0.0
2026-02-02,191.42999267578125,195.0,191.42999267578125,191.9499969482422,10800,0.0,0.0,0.0
2026-02-03,197.3300018310547,197.3300018310547,182.3800048828125,186.5399932861328,20600,0.0,0.0,0.0
2026-02-04,185.1199951171875,185.1199951171875,174.60000610351562,177.35499572753906,13000,0.0,0.0,0.0
2026-02-05,173.8300018310547,175.3699951171875,167.67999267578125,168.57000732421875,15900,0.0,0.0,0.0
2026-02-06,169.49000549316406,175.22000122070312,167.3800048828125,174.72000122070312,63800,0.0,0.0,0.0
2026-02-09,174.1999969482422,180.5500030517578,174.1999969482422,180.27000427246094,9900,0.0,0.0,0.0
2026-02-10,181.6300048828125,181.6300048828125,178.02999877929688,178.02999877929688,6400,0.0,0.0,0.0
2026-02-11,178.5500030517578,178.82000732421875,172.81199645996094,175.10000610351562,8700,0.0,0.0,0.0
2026-02-12,175.24000549316406,175.24000549316406,164.8699951171875,165.5500030517578,18600,0.0,0.0,0.0
2026-02-13,165.0,167.28599548339844,162.34100341796875,163.8800048828125,14200,0.0,0.0,0.0
2026-02-17,162.74000549316406,165.5800018310547,158.47500610351562,165.3000030517578,14300,0.0,0.0,0.0
2026-02-18,166.41000366210938,169.8000030517578,164.99000549316406,168.17999267578125,7500,0.0,0.0,0.0
2026-02-19,166.8000030517578,168.2899932861328,166.36000061035156,167.4199981689453,4100,0.0,0.0,0.0
2026-02-20,166.16000366210938,172.8800048828125,165.0,169.61000061035156,13500,0.0,0.0,0.0
