date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2024-04-25,40.40999984741211,41.61000061035156,40.24100112915039,41.61000061035156,175800,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-04-26,42.5,42.84999847412109,42.209999084472656,42.709999084472656,128300,0.0,0.0,0.0,50.0,50.0,1.3,1.3,1.3
2024-04-29,43.20000076293945,43.2400016784668,42.73099899291992,43.119998931884766,136500,0.0,0.0,0.0,50.0,50.0,1.51,1.51,1.51
2024-04-30,42.81999969482422,43.130001068115234,42.09999847412109,42.09999847412109,88700,0.0,0.0,0.0,50.0,50.0,-0.67,-0.67,-0.67
2024-05-01,42.130001068115234,42.86000061035156,41.75,41.83000183105469,113600,0.0,0.0,0.0,50.0,50.0,-1.05,-1.05,-1.05
2024-05-02,42.36000061035156,42.63999938964844,41.84299850463867,42.63999938964844,110300,0.0,0.0,0.0,50.0,50.0,0.38,0.72,0.72
2024-05-03,43.22999954223633,43.5,43.02000045776367,43.42499923706055,172300,0.0,0.0,0.0,50.0,50.0,1.88,2.2,2.2
2024-05-06,43.650001525878906,44.369998931884766,43.52000045776367,44.369998931884766,115500,0.0,0.0,0.0,50.0,50.0,3.49,3.85,3.85
2024-05-07,44.18000030517578,44.18899917602539,43.84000015258789,44.18000030517578,120300,0.0,0.0,0.0,65.13,55.04,2.06,3.01,3.01
2024-05-08,43.560001373291016,44.18000030517578,43.560001373291016,43.86000061035156,77400,0.0,0.0,0.0,70.27,60.12,0.38,2.04,2.04
2024-05-09,44.040000915527344,44.040000915527344,43.68999862670898,43.720001220703125,87600,0.0,0.0,0.0,71.91,64.05,-0.43,1.21,1.55
2024-05-10,44.08000183105469,44.18999862670898,43.63999938964844,43.970001220703125,65700,0.0,0.0,0.0,76.18,68.09,-0.11,1.5,1.95
2024-05-13,44.0099983215332,44.11000061035156,43.79999923706055,44.11000061035156,26200,0.0,0.0,0.0,80.81,72.33,0.32,1.59,2.1
2024-05-14,44.06999969482422,44.63800048828125,44.02999877929688,44.560001373291016,125700,0.0,0.0,0.0,86.28,76.98,1.17,2.05,2.91
2024-05-15,44.869998931884766,45.290000915527344,44.38999938964844,45.290000915527344,160300,0.0,0.0,0.0,90.85,81.61,2.17,2.9,4.28
2024-05-16,45.20000076293945,45.36000061035156,44.98500061035156,44.9900016784668,769700,0.0,0.0,0.0,87.2,83.47,0.91,1.68,3.35
