date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2024-11-12,22.41340417126835,22.811864309867115,21.885443300120105,22.740140914916992,4000,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-11-13,21.15825241293286,21.297712980529763,20.926149368286133,20.926149368286133,4300,0.0,0.0,0.0,50.0,50.0,-4.15,-4.15,-4.15
2024-11-14,20.869370403439813,20.869370403439813,20.54064055188241,20.560562133789062,3200,0.0,0.0,0.0,50.0,50.0,-3.96,-3.96,-3.96
2024-11-15,19.414987532143112,19.414987532143112,19.29545044677764,19.413991928100582,300,0.0,0.0,0.0,50.0,50.0,-7.16,-7.16,-7.16
2024-11-18,19.39506495224088,19.892144993664264,19.39506495224088,19.83138084411621,1700,0.0,0.0,0.0,50.0,50.0,-4.17,-4.17,-4.17
2024-11-19,19.574371710080403,19.952910249618125,19.574371710080403,19.92003631591797,1300,0.0,0.0,0.0,50.0,50.0,-1.05,-3.14,-3.14
2024-11-20,19.972831454654347,20.154132088601365,19.44487251735411,20.13221549987793,4200,0.0,0.0,0.0,50.0,50.0,0.8,-1.81,-1.81
2024-11-21,21.117409442623494,22.098619017317525,21.088521725604828,21.97410011291504,5000,0.0,0.0,0.0,50.0,50.0,8.49,6.22,6.22
2024-11-22,21.905365809553984,22.053792513343826,21.74697736524045,21.87348937988281,3600,0.0,0.0,0.0,57.77,52.59,5.43,5.06,5.06
2024-11-25,22.35363482362981,23.271089663594964,22.35363482362981,22.66044807434082,5400,0.0,0.0,0.0,66.73,57.3,6.33,7.89,7.89
2024-11-26,21.367445292193363,21.43219375610352,20.89925298387468,21.43219375610352,3100,0.0,0.0,0.0,62.4,59.0,-0.84,2.68,1.85
2024-11-27,20.71994481393942,20.71994481393942,19.5942947605892,19.962871551513672,5200,0.0,0.0,0.0,47.2,55.07,-7.5,-3.91,-4.72
2024-11-29,19.728776481173856,19.82739448547364,19.673987856559407,19.82739448547364,1000,0.0,0.0,0.0,35.18,48.44,-6.26,-4.23,-4.98
2024-12-02,19.97283128871691,20.43604176005193,19.823408985062187,20.07145118713379,4100,0.0,0.0,0.0,28.91,41.93,-3.46,-3.36,-3.54
2024-12-03,21.10844561238329,21.74598180718609,20.591442108154297,20.591442108154297,11400,0.0,0.0,0.0,29.26,37.71,1.05,-1.21,-0.98
