date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.100817,416.94922024941366,419.937352518491,414.7543176496277,417.4713325115585,8930586,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.100817,420.71441999725397,422.5963384864629,418.6722213226111,420.9149476494249,1603612,50.0,50.0,0.41,0.41,0.41
2026-05-10 01:20:38.100817,422.3905755778467,424.2025630529965,421.47272765877517,423.0455046677201,2553329,50.0,50.0,0.61,0.61,0.61
2026-05-11 01:20:38.100817,423.55996038915686,425.5883778515549,423.0791091896203,423.61608028968993,8274561,50.0,50.0,0.56,0.56,0.56
2026-05-12 01:20:38.100817,420.47834357323774,421.97603929878267,419.9205741254858,421.0753970293576,3411838,50.0,50.0,-0.04,-0.04,-0.04
2026-05-13 01:20:38.100817,420.22625561660874,420.63349055032523,417.76703827824485,420.2710940060134,4896348,50.0,50.0,-0.36,-0.19,-0.19
2026-05-14 01:20:38.100817,419.11756311628506,421.61072644833644,417.364556255646,419.4354974393155,2255545,50.0,50.0,-0.49,-0.33,-0.33
2026-05-15 01:20:38.100817,416.59026565380265,418.7879168562982,417.90040666606654,418.2733489544709,9941513,50.0,50.0,-0.54,-0.53,-0.53
2026-05-16 01:20:38.100817,416.1829872048574,418.5360290222611,416.65049513832946,416.82658118168695,1380821,39.71,46.57,-0.56,-0.78,-0.78
2026-05-17 01:20:38.100817,415.7833120336009,419.1269288490058,416.15078395629945,416.1672876362312,7408897,26.53,39.89,-0.48,-0.84,-0.84
2026-05-18 01:20:38.100817,415.4111141077574,419.5372233897462,414.2887433605989,416.9450635341757,5733603,25.52,35.1,-0.14,-0.65,-0.6
2026-05-19 01:20:38.100817,416.8436410802713,419.2182120938171,415.30755295649675,416.952630799838,6793746,24.87,31.69,-0.02,-0.55,-0.55
2026-05-20 01:20:38.100817,414.61717901605283,418.66360978277606,415.2992155761794,416.3141725761033,8945921,25.37,29.58,-0.08,-0.54,-0.65
2026-05-21 01:20:38.100817,416.21642795704173,417.6352881142658,414.84387335151195,416.49036469368184,1180386,26.93,28.7,-0.02,-0.33,-0.56
2026-05-22 01:20:38.100817,410.91174299822654,412.75545258015956,412.3423283453517,412.5403371761795,3491813,18.67,25.36,-0.8,-1.07,-1.41
2026-05-23 01:20:38.100817,407.89177964909516,409.8612229183363,407.62032345971113,408.94795499978227,9952662,16.16,22.29,-1.28,-1.67,-2.13
2026-05-24 01:20:38.100817,405.4741241807703,407.73815958332995,406.25446805449,406.7032882539256,9888650,11.9,18.83,-1.33,-1.91,-2.51
2026-05-25 01:20:38.100817,406.7208364614382,409.34101066134957,407.7801938282382,408.2073224306432,7995568,12.83,16.83,-0.58,-1.31,-2.03
2026-05-26 01:20:38.100817,401.99906988810557,405.83176670647293,400.1367835935831,403.1096365966787,1701597,13.66,15.77,-1.17,-2.21,-3.09
2026-05-27 01:20:38.100817,401.07604043641965,401.6316165838671,400.49543572212696,401.47220695953405,9093842,11.44,14.33,-1.04,-2.26,-3.32
2026-05-28 01:20:38.100817,396.04549939865063,398.549199054303,394.86016808105364,397.67397657527425,8980878,11.57,13.41,-1.43,-2.73,-4.0
2026-05-29 01:20:38.100817,396.5982854881344,399.00407730061613,397.26796969336647,397.8397076419275,7967716,12.07,12.96,-0.95,-2.23,-3.69
2026-05-30 01:20:38.100817,398.12544089194313,401.16788248800117,397.7236177364,398.21605773148735,8787003,14.3,13.41,-0.36,-1.7,-3.31
2026-05-31 01:20:38.100817,397.9869162416187,401.3718183014133,398.3270637710643,399.82998527989355,8333985,20.58,15.8,0.21,-0.9,-2.64
2026-06-01 01:20:38.100817,401.2701205219618,402.4399829623689,401.9954857127404,402.02635226245224,8425147,30.21,20.6,0.73,-0.09,-1.88
2026-06-02 01:20:38.100817,403.7568523467869,406.20299558642716,401.48942478395713,403.8055647202912,6800743,40.73,27.31,0.86,0.48,-1.24
2026-06-03 01:20:38.100817,404.71835138891015,407.174294751069,404.056402414248,405.47630356275687,1595925,55.89,36.84,0.9,0.92,-0.67
2026-06-04 01:20:38.100817,404.6546692732179,406.9994360201826,403.92598645846726,404.71601438103283,5335977,63.94,45.87,0.38,0.82,-0.69
2026-06-05 01:20:38.100817,401.986790819378,405.9517794925651,401.5684273281558,403.50609976063777,4411264,66.03,52.59,-0.1,0.51,-0.82
2026-06-06 01:20:38.100817,403.2581060046827,404.70509171864893,402.2374091701149,403.65824162174766,9490065,65.52,56.9,-0.14,0.49,-0.63
