date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.095561,332.9498511380746,336.16944725040105,332.7682967286697,334.0411995816144,2701141,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.095561,333.02928189110156,336.0400127451491,332.9799281143771,334.04988071768605,3728776,50.0,50.0,0.0,0.0,0.0
2026-05-10 01:20:38.095561,333.49587508872156,336.3290149062105,332.60257849697564,335.47092531441825,5021156,50.0,50.0,0.28,0.28,0.28
2026-05-11 01:20:38.095561,335.7981284443041,338.5673532005485,334.91663889197383,337.1789834214012,1161441,50.0,50.0,0.59,0.59,0.59
2026-05-12 01:20:38.095561,335.60506241761624,338.3907036459175,333.01549675567895,335.97558390602404,8472816,50.0,50.0,0.19,0.19,0.19
2026-05-13 01:20:38.095561,334.7258203362682,335.72628329920104,335.3821431276995,335.61936457043373,3692937,50.0,50.0,-0.01,0.07,0.07
2026-05-14 01:20:38.095561,333.7016827263769,336.08399923027054,332.26487129303587,334.165692185559,8486141,50.0,50.0,-0.45,-0.31,-0.31
2026-05-15 01:20:38.095561,331.65590729365044,333.8760147463632,331.99161708896514,332.2946169048018,3557774,50.0,50.0,-0.82,-0.76,-0.76
2026-05-16 01:20:38.095561,332.8423351657822,334.90970483717285,331.7556479339499,333.9760926220201,6001766,44.2,48.07,-0.13,-0.23,-0.23
2026-05-17 01:20:38.095561,332.45101920736823,335.67499717707125,330.422681937905,333.3685904607852,1652848,41.52,45.89,-0.15,-0.37,-0.37
2026-05-18 01:20:38.095561,328.4582405842664,332.5924352082523,329.54081299185384,330.34762344702494,8190857,30.66,40.81,-0.75,-1.17,-1.16
2026-05-19 01:20:38.095561,326.63374859310767,330.02464270076587,327.64068762494645,328.464699213473,6933319,22.95,34.86,-0.97,-1.56,-1.58
2026-05-20 01:20:38.095561,326.16858555539903,327.70683235618276,327.6088143362045,327.7063112807276,8061200,15.6,28.44,-0.93,-1.56,-1.67
2026-05-21 01:20:38.095561,326.2787464984874,329.74071798130484,325.3748975078974,328.2557785108727,8388005,19.37,25.42,-0.42,-1.13,-1.4
2026-05-22 01:20:38.095561,330.0044354632121,332.1316496953822,328.0284367801597,330.41558101860943,1619985,28.6,26.48,0.42,-0.32,-0.7
2026-05-23 01:20:38.095561,328.1786075136954,330.82929642262826,326.85367385068514,329.48156696338276,6738925,32.36,28.44,0.19,-0.41,-0.92
2026-05-24 01:20:38.095561,327.93396001478624,330.9127187550622,327.9966952669206,329.5005348186301,5511997,34.92,30.6,0.13,-0.27,-0.86
2026-05-25 01:20:38.095561,325.66058322722887,327.3687596406483,326.9953481679547,327.27773263508226,9271454,29.44,30.21,-0.52,-0.79,-1.45
2026-05-26 01:20:38.095561,325.8028450198457,327.5692273125402,326.0253640470503,326.34403713645787,7062316,24.1,28.18,-0.69,-0.84,-1.64
2026-05-27 01:20:38.095561,326.8190484099102,328.5187201738502,326.7800166998853,326.91984807059976,5675202,23.69,26.68,-0.3,-0.47,-1.39
2026-05-28 01:20:38.095561,327.36291995860574,330.117151076074,324.7751883731109,327.75796331342855,9890188,29.31,27.56,0.06,-0.14,-1.05
2026-05-29 01:20:38.095561,328.57374461338713,331.6921817659571,328.3188299168406,329.3842533866303,8952817,40.42,31.85,0.56,0.33,-0.49
2026-05-30 01:20:38.095561,326.6968480838569,328.1072513199358,325.25005316096883,328.05000923496914,1037798,41.79,35.16,0.11,-0.09,-0.78
2026-05-31 01:20:38.095561,328.4118693234043,331.6816581182379,326.6276429595818,328.99376015025524,6088270,48.19,39.5,0.24,0.18,-0.37
2026-06-01 01:20:38.095561,328.2197191476193,331.8520801399746,326.72141825902236,328.89363659984076,5105272,51.52,43.51,0.08,0.19,-0.29
2026-06-02 01:20:38.095561,326.7379232023702,330.0086122464325,326.9884040207097,327.4586825955637,7170318,46.99,44.67,-0.33,-0.18,-0.61
2026-06-03 01:20:38.095561,328.2086240772359,329.16023093132026,326.55564981386794,328.321213420694,5293214,48.03,45.79,-0.01,0.12,-0.26
2026-06-04 01:20:38.095561,328.1121196277383,331.26930484037695,329.5073991890205,329.87961407487126,9569412,56.06,49.21,0.36,0.51,0.26
2026-06-05 01:20:38.095561,331.8759016797063,333.00534057327144,328.96193961451644,331.90111709006226,6566639,66.24,54.89,0.79,0.96,0.9
2026-06-06 01:20:38.095561,328.1791979650531,331.03775805159097,327.90891271784375,329.1340230214999,5565931,60.85,56.88,-0.06,0.05,0.12
