date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.114266,138.4418120413759,141.1194079468536,137.13776097879912,138.7058471280068,7711209,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.114266,137.93117211043278,142.36862652328293,138.96045850445475,139.43861837125536,4589613,50.0,50.0,0.26,0.26,0.26
2026-05-10 01:20:38.114266,135.61472881182942,139.0718385996358,136.9935159502426,137.60847178802672,9139290,50.0,50.0,-0.7,-0.7,-0.7
2026-05-11 01:20:38.114266,138.28316411271905,141.3110665283051,139.0712560013353,139.52777638906286,9529047,50.0,50.0,0.51,0.51,0.51
2026-05-12 01:20:38.114266,140.3191404312211,141.97681938033833,138.7255610300154,141.2704956372264,6372461,50.0,50.0,1.41,1.41,1.41
2026-05-13 01:20:38.114266,139.21918108276193,141.7046586493379,139.34367791170934,140.7665444414294,4990679,50.0,50.0,0.75,0.87,0.87
2026-05-14 01:20:38.114266,137.8331588959476,140.31188177843222,135.68810310434748,138.67728751149016,6833603,50.0,50.0,-0.64,-0.54,-0.54
2026-05-15 01:20:38.114266,140.20994585786326,141.0630604256126,138.17785179610976,140.4478473202896,7692504,50.0,50.0,0.22,0.64,0.64
2026-05-16 01:20:38.114266,138.87746007883678,141.16889358904544,137.43390013855515,138.97859271469315,7175448,49.75,49.92,-0.75,-0.37,-0.37
2026-05-17 01:20:38.114266,141.36682750254636,142.06340758187994,139.64292751825076,141.81929197860268,5576565,63.76,54.53,1.2,1.5,1.5
2026-05-18 01:20:38.114266,141.21091225872766,145.05080452189023,139.28708505467534,142.239227254233,9259531,65.83,58.3,1.29,1.54,1.63
2026-05-19 01:20:38.114266,140.97736794084884,144.36088368839862,141.12265650517537,142.7672590385792,7267028,69.09,61.9,1.07,1.68,1.84
2026-05-20 01:20:38.114266,140.45075460265767,143.21106526509735,139.58779268251428,142.39768334649818,4761106,69.95,64.58,0.53,1.07,1.45
2026-05-21 01:20:38.114266,142.9537447651682,146.55302137695116,141.82439831604344,143.57638268327125,2671275,70.83,66.66,0.71,1.62,2.13
2026-05-22 01:20:38.114266,143.41219176296673,145.14702139695936,142.8893637613011,144.79983269285447,9437630,75.18,69.5,1.15,2.23,2.79
2026-05-23 01:20:38.114266,145.71445612035612,149.51195303131686,147.49847818568637,147.71214680094005,5013209,78.48,72.5,2.4,3.77,4.54
2026-05-24 01:20:38.114266,149.2626322047101,150.62541942425014,148.26639845241104,149.55621585132243,2642942,82.95,75.98,2.71,4.27,5.48
2026-05-25 01:20:38.114266,148.9757879265304,153.66106318082683,149.32719367178882,150.68197528278938,7734973,81.73,77.9,2.32,4.31,5.91
2026-05-26 01:20:38.114266,148.5269219662717,152.0001688330457,149.26658127134297,150.4668241460855,9682704,80.41,78.74,1.23,3.34,5.44
2026-05-27 01:20:38.114266,150.68343325272127,153.34058426511356,148.70047443285793,150.83947248028608,2004188,80.26,79.24,0.66,2.96,5.4
2026-05-28 01:20:38.114266,148.17588781507942,152.68112750698742,149.31603627571013,149.96957732420296,9746279,78.09,78.86,-0.22,1.83,4.38
2026-05-29 01:20:38.114266,150.48243062818068,151.57506791157962,150.43822569552293,151.5109144325177,7842866,79.34,79.02,0.54,2.27,5.01
2026-05-30 01:20:38.114266,149.06790287024847,150.80738522586313,148.8329485343732,150.32257570578508,7713933,75.9,77.98,-0.2,0.93,3.73
2026-05-31 01:20:38.114266,147.35091641723716,149.5689342441621,145.96054832315372,148.1153325763191,1752007,59.93,71.96,-1.36,-0.86,1.91
2026-06-01 01:20:38.114266,147.85330735277054,148.39036658977923,147.19839565210282,148.38025298595954,8980065,50.42,64.78,-0.85,-0.92,1.84
2026-06-02 01:20:38.114266,146.92079784379987,149.95556374468273,146.4146110693075,147.128467490155,7301596,38.67,56.08,-1.32,-1.72,0.76
2026-06-03 01:20:38.114266,145.8173812746717,146.0825065344495,145.18909115577108,145.93941172378558,2334405,28.85,47.0,-1.38,-2.27,-0.3
2026-06-04 01:20:38.114266,146.08160205437287,150.0294665616787,146.13341027734637,147.97549695648718,3302920,30.63,41.54,0.32,-0.73,0.83
2026-06-05 01:20:38.114266,147.06437646292184,149.33399874686654,144.95025701490567,147.1550995937068,3583657,29.92,37.67,-0.11,-1.06,-0.01
2026-06-06 01:20:38.114266,146.14702675761737,148.8273108376581,145.05045040379466,146.55849912453877,3745249,28.04,34.46,-0.27,-1.18,-0.57
