date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.098438,325.38319169032945,327.98566076138115,324.02668244676875,326.68476060753824,9368058,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.098438,332.12077340545864,333.26810973741254,329.57550696490995,332.1223666765701,1019099,50.0,50.0,0.83,0.83,0.83
2026-05-10 01:20:38.098438,333.8218827034398,335.12684885568126,333.26910859850665,334.65180871524467,5728355,50.0,50.0,1.06,1.06,1.06
2026-05-11 01:20:38.098438,330.7633818490466,333.08458949777474,328.85260307099526,331.5001076191484,6476479,50.0,50.0,0.08,0.08,0.08
2026-05-12 01:20:38.098438,331.9819509502722,335.59364190441096,331.0018149168526,333.14457919195684,3809290,50.0,50.0,0.46,0.46,0.46
2026-05-13 01:20:38.098438,335.68255160227574,339.00346341166863,333.24728270513873,336.08542502273633,5571128,50.0,50.0,0.77,1.12,1.12
2026-05-14 01:20:38.098438,333.6568438870568,336.4857152998586,332.13738198460436,333.7999015550406,6988403,50.0,50.0,-0.01,0.37,0.37
2026-05-15 01:20:38.098438,331.37629204929493,335.37628843710445,331.26356387600396,332.62768244947233,8086357,50.0,50.0,-0.24,0.02,0.02
2026-05-16 01:20:38.098438,332.3099036461118,332.922676886037,329.944578108317,332.6838946763694,3824515,52.6,50.87,-0.3,0.03,0.03
2026-05-17 01:20:38.098438,328.8606041746764,332.99029449088664,330.6794784949409,330.740117846305,2213399,41.27,47.67,-0.73,-0.5,-0.5
2026-05-18 01:20:38.098438,332.51618036430375,333.15908144294207,331.60683345748197,332.7461692240666,6734254,40.3,45.21,0.07,-0.08,0.09
2026-05-19 01:20:38.098438,330.9197178920301,332.9966190789009,329.1980257764863,331.9141603626904,8837036,36.92,42.45,-0.07,-0.32,-0.14
2026-05-20 01:20:38.098438,329.14764183791345,330.2802246908259,328.93003479856594,329.702156626603,4821516,27.17,37.35,-0.56,-0.84,-0.75
2026-05-21 01:20:38.098438,329.2825960553725,331.3814113242455,329.48099113257456,330.47356509731804,3228666,23.22,32.64,-0.19,-0.58,-0.48
2026-05-22 01:20:38.098438,330.41160710335384,334.58294307558793,330.5008139169203,331.6817742357068,8131495,27.62,30.97,0.11,-0.17,-0.11
2026-05-23 01:20:38.098438,328.1516448406207,331.0389634371719,326.27541151567067,329.14998910587093,1683637,28.94,30.29,-0.43,-0.72,-0.82
2026-05-24 01:20:38.098438,330.0719362789647,333.84137141703735,329.5178783691203,331.94949871358966,5791151,42.06,34.21,0.41,0.18,0.03
2026-05-25 01:20:38.098438,331.9010806000365,333.57060131878666,330.5762161610005,332.1336218819181,5285645,51.55,39.99,0.32,0.25,0.08
2026-05-26 01:20:38.098438,331.2517598016194,333.5494367185516,331.46130122494156,333.0451203343151,1256709,61.53,47.17,0.44,0.51,0.33
2026-05-27 01:20:38.098438,332.5930470087311,334.3831480562201,331.14903288902667,332.97388802598334,1809058,67.9,54.08,0.34,0.42,0.3
2026-05-28 01:20:38.098438,337.41009326763987,338.4482823099397,336.2792342103504,337.61495873087205,4451047,76.31,61.49,1.22,1.67,1.53
2026-05-29 01:20:38.098438,334.6093474750814,335.3861989796841,332.8211872019772,334.9447008356868,3070050,74.62,65.87,0.24,0.78,0.68
2026-05-30 01:20:38.098438,330.863394329851,334.41155407990675,330.09397113723594,332.18411715936367,6796024,65.92,65.89,-0.59,-0.13,-0.11
2026-05-31 01:20:38.098438,326.0727388094961,328.52991249843905,327.4856243993262,328.04805604690426,2449978,48.8,60.19,-1.53,-1.3,-1.3
2026-06-01 01:20:38.098438,327.4789604456414,330.2656015513582,328.45041494635973,329.2148105747047,5756722,37.79,52.73,-0.96,-0.88,-0.89
2026-06-02 01:20:38.098438,328.69534406604805,330.99973275168117,328.283618585466,329.4086765188997,6659378,31.04,45.5,-0.41,-0.83,-0.74
2026-06-03 01:20:38.098438,331.1886272319446,333.2548104659551,330.82189614247585,331.26727479419037,5909748,32.19,41.06,0.38,-0.25,-0.14
2026-06-04 01:20:38.098438,329.49867288712704,332.54961060647054,330.8983902129436,331.3671538381393,8490100,33.26,38.46,0.46,-0.19,-0.09
2026-06-05 01:20:38.098438,327.88639813761483,329.6209346344562,326.7812765217807,328.8766878113454,5140263,28.16,35.03,-0.35,-0.82,-0.78
2026-06-06 01:20:38.098438,329.12083246856105,330.6844765981804,326.96522084535997,329.52891125309185,2363548,29.42,33.16,-0.17,-0.52,-0.57
