date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2025-04-03,18.32900047302246,18.32900047302246,16.259000778198242,16.309999465942383,20400,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2025-04-04,15.15999984741211,15.15999984741211,13.489999771118164,13.489999771118164,11000,0.0,0.0,0.0,50.0,50.0,-9.46,-9.46,-9.46
2025-04-07,12.588000297546388,15.329999923706056,12.18000030517578,13.928000450134276,10300,0.0,0.0,0.0,50.0,50.0,-4.45,-4.45,-4.45
2025-04-08,14.380000114440918,15.06999969482422,12.859999656677246,12.859999656677246,6500,0.0,0.0,0.0,50.0,50.0,-9.1,-9.1,-9.1
2025-04-09,13.140000343322754,16.950000762939453,13.140000343322754,16.767000198364258,12700,0.0,0.0,0.0,50.0,50.0,14.29,14.29,14.29
2025-04-10,15.456000328063965,15.456000328063965,13.888999938964844,14.630000114440918,5300,0.0,0.0,0.0,50.0,50.0,2.06,-0.23,-0.23
2025-04-11,14.600000381469728,15.779999732971191,14.600000381469728,15.61400032043457,4200,0.0,0.0,0.0,50.0,50.0,5.79,5.5,5.5
2025-04-14,16.43000030517578,16.43000030517578,15.18000030517578,15.609999656677246,4400,0.0,0.0,0.0,50.0,50.0,3.4,4.76,4.76
2025-04-15,15.779999732971191,15.899999618530272,15.470000267028809,15.508999824523926,19600,0.0,0.0,0.0,51.38,50.46,-0.75,3.61,3.61
2025-04-16,14.5600004196167,15.039999961853027,14.170000076293944,14.869999885559082,2700,0.0,0.0,0.0,53.05,51.32,-2.47,-0.59,-0.59
2025-04-17,14.90999984741211,15.34000015258789,14.880000114440918,15.020999908447266,3600,0.0,0.0,0.0,55.22,52.62,-1.98,1.29,0.38
2025-04-21,14.710000038146973,14.968999862670898,14.402000427246094,14.968999862670898,2200,0.0,0.0,0.0,54.0,53.08,-1.49,-0.06,0.03
2025-04-22,15.100000381469728,15.489999771118164,15.100000381469728,15.467000007629396,4800,0.0,0.0,0.0,56.36,54.17,1.98,2.22,3.09
2025-04-23,16.24799919128418,16.559999465942383,15.902000427246094,15.902000427246094,11700,0.0,0.0,0.0,62.7,57.02,4.3,3.02,5.54
2025-04-24,16.350000381469727,17.520000457763672,16.350000381469727,17.391000747680664,6400,0.0,0.0,0.0,73.85,62.63,10.42,12.21,14.25
