date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.103240,184.5833629392245,186.22413201284905,184.5504337613039,184.71005287788466,5766474,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.103240,183.1076220147552,186.69634367704984,183.226469320318,184.22677080500455,4045601,50.0,50.0,-0.13,-0.13,-0.13
2026-05-10 01:20:38.103240,180.73846323104172,183.67351504078917,181.12694984721165,181.50045603145531,3826784,50.0,50.0,-1.08,-1.08,-1.08
2026-05-11 01:20:38.103240,181.81546672685516,182.008156770671,179.94882553096843,181.87374607160237,7047995,50.0,50.0,-0.66,-0.66,-0.66
2026-05-12 01:20:38.103240,182.1723447930297,186.10351581214968,182.99933712680797,183.8405343430656,4726284,50.0,50.0,0.33,0.33,0.33
2026-05-13 01:20:38.103240,182.00056185775324,185.4160773003858,181.9563395286744,183.313032130999,5901652,50.0,50.0,0.2,0.04,0.04
2026-05-14 01:20:38.103240,183.40390722195232,186.21194957391745,182.62004990729284,184.80736390519505,6348581,50.0,50.0,0.95,0.73,0.73
2026-05-15 01:20:38.103240,182.85040652937104,187.30597330503366,182.20110284142933,184.4179781704355,6409339,50.0,50.0,0.42,0.45,0.45
2026-05-16 01:20:38.103240,184.83023324209995,185.7039878949759,182.96383783062885,185.6349639152751,9640381,59.1,53.03,0.67,0.99,0.99
2026-05-17 01:20:38.103240,184.47612786238076,186.06405492137037,184.6188034321605,184.9926677458752,4408754,62.25,56.1,0.19,0.58,0.58
2026-05-18 01:20:38.103240,184.20520498145416,185.1633902224848,182.31747249281167,184.45446841080377,5428949,61.91,58.04,-0.22,0.3,0.26
2026-05-19 01:20:38.103240,185.9805306862999,188.15187649665972,186.14268040892716,186.6041603650502,8674486,68.32,61.47,0.75,1.34,1.31
2026-05-20 01:20:38.103240,182.48742137082758,187.17213902609737,182.2910983305731,184.18786585320672,8980730,57.55,60.16,-0.53,-0.12,-0.01
2026-05-21 01:20:38.103240,184.6261439890247,185.30999846458505,184.34992516141654,184.7192649839775,4391446,53.23,57.85,-0.15,0.01,0.26
2026-05-22 01:20:38.103240,183.11652880820165,186.0037794363947,181.94137554488464,183.39972088667116,1385114,43.32,53.01,-0.69,-0.68,-0.42
2026-05-23 01:20:38.103240,183.30767163364388,184.83182582357986,180.70952726344512,183.67750815390903,9945306,42.17,49.4,-0.46,-0.55,-0.26
2026-05-24 01:20:38.103240,185.15425677438375,187.0793156765816,184.03165038233954,186.51790449347885,4590465,54.13,50.97,1.09,0.9,1.21
2026-05-25 01:20:38.103240,185.4764796666246,189.26845589481832,184.96473158681374,186.28539116761107,3436807,57.8,53.25,0.74,0.67,1.02
2026-05-26 01:20:38.103240,184.12280776065447,186.0053037195597,184.6722844118983,184.85956746170598,1540553,54.7,53.73,-0.05,-0.06,0.24
2026-05-27 01:20:38.103240,180.63706070396452,182.3664980173699,180.99662362045888,181.12453593511418,2953258,38.08,48.51,-1.83,-1.87,-1.7
2026-05-28 01:20:38.103240,181.14761691025032,181.72306412959708,178.98471610712326,181.45003579110514,5971022,33.38,43.47,-1.41,-1.54,-1.44
2026-05-29 01:20:38.103240,178.46820919777826,179.5254700726509,178.63158159952195,179.30173663391759,5236163,24.35,37.1,-1.81,-2.32,-2.47
2026-05-30 01:20:38.103240,177.00969646052928,179.35522952238372,176.423419619288,177.5016746056004,6722757,19.03,31.08,-1.85,-2.94,-3.35
2026-05-31 01:20:38.103240,178.96373855708245,181.1136637734261,177.28935668874686,179.0972772434697,1209313,19.63,27.26,-0.33,-1.77,-2.4
2026-06-01 01:20:38.103240,180.22509752697948,183.67020247850957,180.5755883755691,181.15280423274046,4341955,25.36,26.63,0.81,-0.52,-1.21
2026-06-02 01:20:38.103240,178.84234061540545,180.09894888520736,178.1549176109478,179.1031770683968,8218542,23.86,25.7,-0.07,-1.4,-2.22
2026-06-03 01:20:38.103240,178.69767514296618,179.62369988185065,179.2548112784126,179.5494704123205,2813841,26.78,26.06,0.15,-0.77,-1.83
2026-06-04 01:20:38.103240,178.66671543583834,179.47738708794668,178.7632412909208,179.02293069249825,5989734,29.81,27.31,-0.31,-0.66,-1.98
2026-06-05 01:20:38.103240,175.69011388447078,178.95328247197992,176.0647373977109,177.185428104191,8124366,24.79,26.47,-1.13,-1.26,-2.76
2026-06-06 01:20:38.103240,176.5545609631357,179.12485751345628,175.7661226240171,177.64546404545138,1712552,24.45,25.8,-0.48,-0.81,-2.31
