date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.116685,331.15385309002113,335.04460303541333,332.8711978196413,333.03169271345683,6737372,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.116685,330.5158830559319,335.05467979511167,330.07182808462363,332.30927808507965,7453597,50.0,50.0,-0.11,-0.11,-0.11
2026-05-10 01:20:38.116685,332.5857695175103,334.30235205207936,330.16614950060807,332.7578462336114,6247410,50.0,50.0,0.02,0.02,0.02
2026-05-11 01:20:38.116685,330.3237680971076,332.33807367770504,329.7396099385858,331.5992320877126,7466774,50.0,50.0,-0.25,-0.25,-0.25
2026-05-12 01:20:38.116685,328.1243833006537,331.5917135039844,328.6680467309547,329.9527999552507,4174165,50.0,50.0,-0.6,-0.6,-0.6
2026-05-13 01:20:38.116685,328.95563281273786,331.42513825482894,327.6697073602659,329.19941480830323,8022119,50.0,50.0,-0.59,-0.69,-0.69
2026-05-14 01:20:38.116685,326.56674997779174,328.7721467579882,325.7444056655947,327.11444019652447,5926492,50.0,50.0,-0.91,-1.13,-1.13
2026-05-15 01:20:38.116685,328.71651991523066,328.88277923476926,327.74681474810257,328.8357433677015,4825706,50.0,50.0,-0.15,-0.53,-0.53
2026-05-16 01:20:38.116685,327.56206894015304,330.4360240796979,327.549192831382,329.26461219714815,3361157,45.94,48.65,0.12,-0.36,-0.36
2026-05-17 01:20:38.116685,326.1156170562128,327.7324955181537,326.1090741508708,327.6596507633131,3804317,37.48,44.92,-0.23,-0.76,-0.76
2026-05-18 01:20:38.116685,325.6763482900233,328.40856369236684,324.15213911868807,325.9562035097018,9175564,30.91,40.25,-0.55,-1.06,-1.16
2026-05-19 01:20:38.116685,322.9609549742934,326.51414160503134,322.649356134283,324.00665808921553,1444175,25.28,35.26,-0.96,-1.41,-1.61
2026-05-20 01:20:38.116685,321.151318866586,323.49021833559095,321.26564173642663,322.274211477844,7195293,20.11,30.21,-1.09,-1.62,-1.97
2026-05-21 01:20:38.116685,323.0256852366289,326.36652302085173,323.19833792404177,324.1901519269594,1456362,23.0,27.81,-0.19,-0.81,-1.29
2026-05-22 01:20:38.116685,320.78632719217217,321.86923510232947,318.571851720493,321.0833415049572,8592677,22.39,26.0,-0.75,-1.5,-2.09
2026-05-23 01:20:38.116685,320.26086021042113,323.1492980086069,318.5524100803543,320.6511020735091,1113827,20.81,24.27,-0.56,-1.37,-2.09
2026-05-24 01:20:38.116685,321.88717546235586,322.75860019988005,321.04552057012626,321.93861753015966,5843616,23.37,23.97,-0.03,-0.82,-1.6
2026-05-25 01:20:38.116685,322.9764804228598,324.5322096586247,322.7025322925656,323.0807282325852,1535756,30.9,26.28,0.28,-0.29,-1.18
2026-05-26 01:20:38.116685,318.6555074005882,321.18405242806557,316.7779686096506,319.49471296264494,4978092,28.38,26.98,-0.55,-1.1,-2.16
2026-05-27 01:20:38.116685,317.38857494743985,321.37296595648775,318.0313847074208,318.9896971480706,9469630,26.5,26.82,-0.57,-0.99,-2.2
2026-05-28 01:20:38.116685,318.23941134609885,320.3307656555199,318.74621571625914,319.3363999821919,3998153,26.56,26.73,-0.38,-0.67,-1.89
2026-05-29 01:20:38.116685,316.85956140688984,319.30139149948053,316.88478656183975,318.439669105028,9088905,23.48,25.65,-0.45,-0.78,-1.96
2026-05-30 01:20:38.116685,314.56126569414874,316.1320938238144,315.67264156614226,316.05059269434713,2680596,17.08,22.79,-0.76,-1.33,-2.44
2026-05-31 01:20:38.116685,315.94669524457953,318.89133138149316,315.9720958807093,315.9840919447821,7450008,12.56,19.38,-0.56,-1.1,-2.23
2026-06-01 01:20:38.116685,316.46764440424926,319.1802139031747,315.7993015176878,317.4974440447743,1515203,15.24,18.0,0.01,-0.52,-1.57
2026-06-02 01:20:38.116685,319.2900312475526,320.4176868767905,318.5950276494813,320.04968440759103,9238433,26.63,20.87,0.77,0.3,-0.63
2026-06-03 01:20:38.116685,318.691997994401,322.74893016762826,318.2041204918795,319.9041299786957,8843656,37.68,26.48,0.63,0.32,-0.57
2026-06-04 01:20:38.116685,322.5391689728216,324.91807331941624,320.70066011650187,323.5122878674213,5448537,53.39,35.45,1.29,1.44,0.64
2026-06-05 01:20:38.116685,324.9703069187481,328.67429132099403,325.6332339653537,325.91046281590246,7231764,61.84,44.24,1.41,1.98,1.43
2026-06-06 01:20:38.116685,328.8825875619694,330.4459720136519,326.29062414868383,329.214910678459,4828196,71.78,53.42,1.7,2.69,2.44
