date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.102745,149.52360496114963,151.2846260478066,148.81798766069028,150.49521544266523,6842515,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.102745,150.28875714264728,154.02716244528764,150.99436725850907,151.8154028926355,7011139,50.0,50.0,0.44,0.44,0.44
2026-05-10 01:20:38.102745,152.19076832555487,152.94081979156599,151.69366529024356,152.47100514501443,8084535,50.0,50.0,0.58,0.58,0.58
2026-05-11 01:20:38.102745,150.9974279549494,155.103469296769,150.87273695060327,152.64172799931652,5554945,50.0,50.0,0.52,0.52,0.52
2026-05-12 01:20:38.102745,152.1056938486826,156.00957249454578,153.6782368600369,153.7521890662033,8095106,50.0,50.0,1.0,1.0,1.0
2026-05-13 01:20:38.102745,151.49416732897484,155.36352233027128,150.94449644933906,152.72735215092783,6799238,50.0,50.0,0.03,0.27,0.27
2026-05-14 01:20:38.102745,149.45099269717053,152.39779802224047,148.37543652352414,151.00403634982393,9831210,50.0,50.0,-0.99,-0.74,-0.74
2026-05-15 01:20:38.102745,148.04720158569464,151.1923709268059,148.22066041592774,148.32817586673212,9976217,50.0,50.0,-2.22,-2.19,-2.19
2026-05-16 01:20:38.102745,146.8650889205791,151.28386622679545,147.79703965197558,148.3430691836039,5222190,35.55,45.18,-1.65,-1.95,-1.95
2026-05-17 01:20:38.102745,148.91474203528753,152.08471212472296,150.39847220529933,150.44005041585407,9147345,34.43,41.6,0.18,-0.5,-0.5
2026-05-18 01:20:38.102745,148.1407860601121,150.8961237775586,150.0071836386971,150.07008344464484,3710689,32.18,38.46,0.29,-0.72,-0.68
2026-05-19 01:20:38.102745,148.5978069035644,149.58496811652086,146.05759604017643,148.79672873239346,9444016,30.63,35.85,-0.27,-1.37,-1.4
2026-05-20 01:20:38.102745,144.6363534402921,148.31369324013465,146.45977980605974,146.52840313238372,8739153,21.99,31.23,-1.55,-2.49,-2.68
2026-05-21 01:20:38.102745,146.90352586733755,147.35965137587797,146.77367447408557,147.19409096850652,9986355,18.73,27.06,-0.95,-1.69,-2.09
2026-05-22 01:20:38.102745,145.21833432309415,149.30761105977678,145.74036787306713,147.11123232629112,1945733,19.35,24.49,-0.56,-1.3,-2.0
2026-05-23 01:20:38.102745,144.52387795852093,146.10300061597619,144.67788840775967,144.73752580919216,2679166,13.17,20.72,-1.45,-2.37,-3.37
2026-05-24 01:20:38.102745,141.7989390673454,144.0846109912413,140.61232851127582,143.46194676036842,1827104,17.06,19.5,-1.61,-2.74,-3.98
2026-05-25 01:20:38.102745,143.99886897122366,146.68040195257714,143.01000634435476,144.40038501601714,7175185,22.38,20.46,-0.67,-1.84,-3.17
2026-05-26 01:20:38.102745,143.42996876461896,147.75126629745392,144.77500199492005,144.84353327994148,4207071,28.63,23.18,-0.05,-1.3,-2.73
2026-05-27 01:20:38.102745,145.6293663175297,149.63970052760146,146.40514896797833,146.7679160553284,2087310,41.82,29.4,1.33,0.26,-1.36
2026-05-28 01:20:38.102745,143.73477577435705,146.42354970854396,142.79665798945356,145.05559908421125,9590526,44.29,34.36,0.1,-0.57,-2.34
2026-05-29 01:20:38.102745,138.39890453849983,141.59596041551032,137.7152985742358,139.88567151008064,3270848,35.59,34.77,-2.99,-3.53,-5.44
2026-05-30 01:20:38.102745,137.43091911104418,141.99111922734852,138.18326786807594,139.04841608331122,8343197,27.45,32.33,-2.85,-3.61,-5.57
2026-05-31 01:20:38.102745,139.00989902221434,140.78506774944006,138.60016178914228,139.9374021191564,4316813,24.51,29.73,-1.55,-2.5,-4.56
2026-06-01 01:20:38.102745,139.55488522929397,141.2214310264793,140.1814125781206,140.5172232007527,1944698,24.18,27.88,-0.26,-1.64,-3.73
2026-06-02 01:20:38.102745,143.2220157009891,145.81445946712338,140.71762453496262,143.57250069548496,9855097,32.49,29.41,2.12,0.58,-1.33
2026-06-03 01:20:38.102745,144.81377290418732,147.66470490878822,144.38996457601374,145.84746519747605,7269744,44.39,34.41,2.87,2.0,0.42
2026-06-04 01:20:38.102745,143.47126040323673,147.9974664493935,145.3232020149161,145.38724530125816,5332194,51.04,39.95,1.63,1.61,0.2
2026-06-05 01:20:38.102745,140.00454884211658,144.625974587584,139.85431534297425,141.8516966189324,7308056,47.44,42.45,-1.1,-0.66,-2.02
2026-06-06 01:20:38.102745,141.86719437494432,144.42729885784044,141.57036180070168,143.44548013502194,5079298,50.2,45.03,-0.4,0.7,-0.68
