date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.109208,382.2482522792038,385.09414702639026,383.1504925146598,383.41286459110887,3625356,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.109208,382.75085812191753,385.70873574571516,381.72376563985546,384.4803175136138,4940422,50.0,50.0,0.14,0.14,0.14
2026-05-10 01:20:38.109208,384.1073857064681,385.549265573085,382.175563509836,384.47354144852636,5366137,50.0,50.0,0.09,0.09,0.09
2026-05-11 01:20:38.109208,383.26859849491905,386.87598810225654,385.13187335148837,385.24233365906815,7773267,50.0,50.0,0.22,0.22,0.22
2026-05-12 01:20:38.109208,384.6489640123882,386.5043520617054,385.1426829673897,385.7043333490027,4756211,50.0,50.0,0.27,0.27,0.27
2026-05-13 01:20:38.109208,386.59162623792395,388.9180319722678,386.2272669138213,387.9973571758573,2213548,50.0,50.0,0.63,0.72,0.72
2026-05-14 01:20:38.109208,390.54664842228357,391.42795368892627,388.0384512708145,390.7850283272226,1750902,50.0,50.0,1.02,1.24,1.24
2026-05-15 01:20:38.109208,390.3243261495103,393.1826283506778,388.1443663640561,390.7164565818833,6294354,50.0,50.0,0.68,1.06,1.06
2026-05-16 01:20:38.109208,388.53047108309187,390.7176752261293,390.22307093861986,390.37913949316385,8158928,58.51,52.84,0.32,0.87,0.87
2026-05-17 01:20:38.109208,389.6499820919088,391.81880387700176,390.13598298213304,390.21438194444295,7985158,63.71,56.46,0.05,0.74,0.74
2026-05-18 01:20:38.109208,391.1601311616893,392.98370977409513,389.3506064255326,391.509375519334,2055834,70.74,61.22,0.2,0.87,0.98
2026-05-19 01:20:38.109208,390.53531245805345,393.96922852052273,389.74326148122276,391.3347659096916,9360649,70.55,64.33,0.13,0.64,0.85
2026-05-20 01:20:38.109208,389.2515257910378,391.24515801880415,388.6126988666412,389.41991456432487,2643038,63.19,63.95,-0.29,0.02,0.33
2026-05-21 01:20:38.109208,390.43459361845225,391.91759840105846,388.8651592844117,391.5619401672844,5088670,65.09,64.33,0.19,0.41,0.82
2026-05-22 01:20:38.109208,394.69924703007814,396.67108255596526,393.9035830944766,396.58775790737474,3626595,76.41,68.36,1.15,1.42,1.97
2026-05-23 01:20:38.109208,395.79801315139144,398.112468582599,394.2714006222965,397.1843641212131,3133919,81.17,72.63,1.01,1.33,1.99
2026-05-24 01:20:38.109208,394.82205714241735,398.5808502683062,395.1942358138855,396.340280799015,5771004,79.95,75.07,0.54,0.97,1.67
2026-05-25 01:20:38.109208,397.4449904179332,400.9771489056529,396.44688661886573,399.29454566112895,6640573,82.1,77.41,0.78,1.5,2.29
2026-05-26 01:20:38.109208,397.3456690304955,400.8704117410202,398.3471673296232,399.31369755227047,3959684,83.58,79.47,0.39,1.28,2.17
2026-05-27 01:20:38.109208,397.63148886755636,399.07520238640967,396.3392163207379,398.8757715608905,4231330,83.39,80.78,0.17,0.94,1.95
2026-05-28 01:20:38.109208,394.3942231818503,395.84349154596896,392.44217971799355,395.1520992994166,7957825,73.22,78.26,-0.66,-0.09,0.85
2026-05-29 01:20:38.109208,395.6183000901176,400.4819531279531,395.23233608827763,397.54744265763355,4579422,72.71,76.41,-0.12,0.36,1.29
2026-05-30 01:20:38.109208,397.9381618896095,400.83924461940063,398.36457052675854,399.49719963094407,1622535,76.03,76.28,0.36,0.59,1.59
2026-05-31 01:20:38.109208,400.5007437664536,403.18401545298326,400.64839710474126,401.1904998806794,7888981,77.83,76.8,0.69,0.78,1.82
2026-06-01 01:20:38.109208,402.53966780502515,403.3348850850038,401.3051637063504,403.04421155827885,8256273,84.33,79.31,0.94,1.08,2.06
2026-06-02 01:20:38.109208,403.28943206818184,406.01091394612365,401.81025852457793,403.32791987853443,6223092,82.96,80.53,0.6,0.99,1.94
2026-06-03 01:20:38.109208,401.84997500148603,404.07545873978347,400.6244254789094,401.9164485446416,5171037,78.58,79.88,0.03,0.5,1.44
2026-06-04 01:20:38.109208,402.3768680144802,403.3870716068587,400.57756491179555,402.6949922339881,4213635,77.58,79.11,0.06,0.61,1.48
2026-06-05 01:20:38.109208,404.6981680971363,406.85460956186677,403.3256888869758,405.3741243556803,7835369,81.63,79.95,0.52,1.13,1.96
2026-06-06 01:20:38.109208,405.2690490370139,406.0065510943528,403.8471691382396,405.83532367975124,2586422,84.83,81.58,0.5,1.07,1.88
