date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.101295,153.74658469377584,156.89112569318257,154.69644750906187,155.02474893421817,3455310,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.101295,153.27030037968902,155.89311198297483,152.40041982880052,155.11778878315934,2343307,50.0,50.0,0.03,0.03,0.03
2026-05-10 01:20:38.101295,155.57675387655013,158.76478019647038,154.43182423278725,156.74573525731935,7336913,50.0,50.0,0.72,0.72,0.72
2026-05-11 01:20:38.101295,156.15183191657994,157.9995721767937,154.5255678257945,157.3729218301335,9491539,50.0,50.0,0.84,0.84,0.84
2026-05-12 01:20:38.101295,153.5430095551659,155.1801377001705,153.1838762136767,154.044252587344,5993278,50.0,50.0,-1.04,-1.04,-1.04
2026-05-13 01:20:38.101295,153.7077893509583,156.82998598709617,153.3054109852473,154.273758937965,9007441,50.0,50.0,-0.8,-0.74,-0.74
2026-05-14 01:20:38.101295,152.07593774254795,156.7486240622564,151.96573973793107,153.8184803733065,8023000,50.0,50.0,-0.92,-0.89,-0.89
2026-05-15 01:20:38.101295,153.7100424792052,157.3773011316233,153.4374073398483,155.06254157801936,7992344,50.0,50.0,0.1,-0.08,-0.08
2026-05-16 01:20:38.101295,155.36119640249828,158.46785346391002,154.29817218562036,157.17927893417524,3840922,58.89,52.96,1.49,1.14,1.14
2026-05-17 01:20:38.101295,157.44286230833424,158.33627483054562,157.11352881070968,158.33323331918223,2404246,70.48,58.8,1.67,1.69,1.69
2026-05-18 01:20:38.101295,158.55495402049962,161.5528401317385,156.68390898706676,158.9968563747153,9050380,71.43,63.01,1.48,1.86,1.92
2026-05-19 01:20:38.101295,155.85134088700528,158.71134419188417,154.1515851688584,156.79459318713978,1584690,64.41,63.48,-0.3,0.34,0.47
2026-05-20 01:20:38.101295,154.20544913710822,156.47304330206512,152.1061641982327,154.26139635107418,2939642,50.92,59.29,-1.82,-1.12,-1.07
2026-05-21 01:20:38.101295,150.27511164795166,153.7781596795791,151.71657246205584,151.99784959917827,7025875,34.9,51.16,-2.61,-2.24,-2.34
2026-05-22 01:20:38.101295,151.4021838024686,154.83841480793393,150.5510025914668,152.63234727544733,9917358,29.57,43.97,-1.49,-1.74,-1.81
2026-05-23 01:20:38.101295,153.63399372978063,156.08971395072902,154.60036403733727,155.57068568252382,7400483,34.92,40.95,0.86,0.07,0.08
2026-05-24 01:20:38.101295,155.08506984813957,157.98449175981872,152.59903132407848,155.2879239200708,9728790,37.63,39.85,0.87,-0.21,-0.1
2026-05-25 01:20:38.101295,154.18862478481233,156.39814740391122,153.92573445086273,155.8641003641678,7354568,41.19,40.29,1.03,0.11,0.26
2026-05-26 01:20:38.101295,155.56939189248467,157.47224905650296,155.00520456666035,155.78918891299955,2165827,43.33,41.31,0.49,0.15,0.2
2026-05-27 01:20:38.101295,152.11518539209646,154.59226397035786,151.68010088512065,153.68753664098978,1361127,41.7,41.44,-1.0,-0.9,-1.1
2026-05-28 01:20:38.101295,154.49282833358205,156.22710732764583,153.2002441113583,156.14193128723159,2924748,52.87,45.25,0.51,0.87,0.45
2026-05-29 01:20:38.101295,153.88159639857653,157.38339318281768,153.436545960249,154.708678078098,4933502,53.89,48.13,-0.34,0.07,-0.46
2026-05-30 01:20:38.101295,153.08213601464257,156.21011467436097,153.67041798127428,153.8114571072869,6151222,50.55,48.93,-0.66,-0.48,-0.95
2026-05-31 01:20:38.101295,156.0835505340296,157.94497442380603,153.9444848014055,156.91057084276372,7998448,61.35,53.07,1.2,1.21,1.06
2026-06-01 01:20:38.101295,156.69176482221297,157.41682003185022,155.56481604227878,157.20924684431074,2215656,70.14,58.76,0.93,1.1,1.15
2026-06-02 01:20:38.101295,157.6496328759633,161.37995220566452,158.19346261569683,158.83654196929845,2409772,71.35,62.96,1.63,1.93,2.05
2026-06-03 01:20:38.101295,157.47630185775577,159.54571838897525,157.36409920297382,159.28925010333484,9286096,73.72,66.54,1.32,1.96,2.16
2026-06-04 01:20:38.101295,155.39771850064804,159.64321171350173,154.91776384835998,157.31790487726477,6082123,68.52,67.2,-0.38,0.61,0.82
2026-06-05 01:20:38.101295,154.71814238077408,156.80245830858127,153.23071715676127,154.92186586692526,7773193,52.69,62.37,-1.65,-0.87,-0.64
2026-06-06 01:20:38.101295,156.58506957015123,158.20866249160363,156.80632706476135,157.33911889583797,7971341,51.93,58.89,-0.13,0.44,0.94
