date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.104791,469.5995208447814,472.9955510016282,469.9779644629379,471.32388102495,4992358,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.104791,469.59287958283244,473.76455363735244,470.253703048908,471.3453719333871,6712360,50.0,50.0,0.0,0.0,0.0
2026-05-10 01:20:38.104791,471.5953308665411,475.74810139049504,472.70914797170815,473.025764888124,1200831,50.0,50.0,0.24,0.24,0.24
2026-05-11 01:20:38.104791,473.3338276985221,474.0804111985003,472.6566405344603,473.60062215302435,8220938,50.0,50.0,0.27,0.27,0.27
2026-05-12 01:20:38.104791,472.35424844393043,476.70726645528833,472.3183398870528,473.9022432789024,6349436,50.0,50.0,0.27,0.27,0.27
2026-05-13 01:20:38.104791,468.4821011963147,472.02523465624034,467.61288236353306,470.340881980486,3386462,50.0,50.0,-0.44,-0.41,-0.41
2026-05-14 01:20:38.104791,468.9434993319963,470.96474944766624,467.10153701005254,469.9694349336898,5296462,50.0,50.0,-0.47,-0.42,-0.42
2026-05-15 01:20:38.104791,465.8174440405297,468.1642886593688,465.2032739439049,467.1253958889934,1151576,50.0,50.0,-0.82,-0.89,-0.89
2026-05-16 01:20:38.104791,464.6862049076859,466.48243051271345,464.35564357918594,465.0946542426866,2614935,35.33,45.11,-0.89,-1.18,-1.18
2026-05-17 01:20:38.104791,463.9389948668842,465.8413503780649,463.9240057763946,464.79907883593523,9088840,25.83,38.68,-0.57,-1.12,-1.12
2026-05-18 01:20:38.104791,466.14987557583953,469.22192759943067,465.08672543122555,466.53904195453066,8694182,24.04,33.8,-0.04,-0.65,-0.68
2026-05-19 01:20:38.104791,464.8595162528574,467.31742808459524,463.1247296186567,465.20459505282383,7602052,21.13,29.58,-0.12,-0.8,-0.88
2026-05-20 01:20:38.104791,468.1963929847568,471.1024914984096,468.95633970928174,469.5035257331634,8832564,29.74,29.63,0.7,0.19,0.03
2026-05-21 01:20:38.104791,466.82323419157905,470.70998904384294,466.994781579257,468.2145188998325,3482402,38.89,32.72,0.29,0.03,-0.23
2026-05-22 01:20:38.104791,466.38529813091145,469.22572242174107,466.26868849574026,466.653608181495,6257582,40.67,35.37,-0.12,-0.15,-0.52
2026-05-23 01:20:38.104791,463.39238764096024,467.0385043928768,462.3592158153328,464.0602033304717,6799549,33.6,34.78,-0.57,-0.57,-1.01
2026-05-24 01:20:38.104791,465.04747606462917,468.17217867493537,464.51291022197046,465.2250480977061,9966321,33.33,34.29,-0.32,-0.22,-0.72
2026-05-25 01:20:38.104791,466.2298254027998,468.34332879003614,466.5373630158766,467.2880801658839,1478773,41.01,36.53,0.21,0.22,-0.26
2026-05-26 01:20:38.104791,469.8618175475608,471.98600550697194,468.5403687599109,471.2592825720409,8642255,58.16,43.74,0.93,0.94,0.56
2026-05-27 01:20:38.104791,473.74001114621717,474.67997095438983,472.33110031099284,474.2491817800811,2356908,70.94,52.81,1.25,1.37,1.13
2026-05-28 01:20:38.104791,473.5476068309555,475.37207700537476,472.28412297416816,474.76127302373715,4606945,79.06,61.56,0.89,1.31,1.21
2026-05-29 01:20:38.104791,472.32319486541263,474.2701936743993,471.0365991081849,473.8308091789601,8299756,82.09,68.4,0.33,0.92,0.98
2026-05-30 01:20:38.104791,474.5532704543354,474.95530375094177,473.5931125458269,474.91524494880423,8694389,86.89,74.57,0.23,1.04,1.19
2026-05-31 01:20:38.104791,474.0744734244733,476.0074040836316,473.10593587656865,474.4078473306093,6710256,87.35,78.83,-0.01,0.8,1.07
2026-06-01 01:20:38.104791,475.63554278679226,477.32236458069224,473.3114820901427,476.04587001545394,8294161,88.25,81.97,0.26,0.94,1.4
2026-06-02 01:20:38.104791,475.9160671338469,477.5822226897991,476.84160121218184,476.85530102059977,2862010,89.97,84.64,0.35,0.84,1.5
2026-06-03 01:20:38.104791,474.7263688648288,475.61107839297273,474.0445030388718,475.59968118734287,2526738,86.01,85.09,0.01,0.35,1.17
2026-06-04 01:20:38.104791,475.8554724200476,478.08603422428934,476.1094191481457,476.8327377008311,9129082,84.74,84.98,0.19,0.41,1.33
2026-06-05 01:20:38.104791,471.9175841149779,475.10466898378854,471.165555449721,473.02842703128044,4412643,65.91,78.62,-0.56,-0.43,0.44
2026-06-06 01:20:38.104791,473.25688140764873,476.4658996097959,472.7054437169756,474.106208085951,1074437,58.46,71.9,-0.25,-0.2,0.57
