date,open,high,low,close,volume,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08 01:20:38.101766,327.06146496470564,329.53312032759834,325.9702584380425,328.5513437638617,2159786,50.0,50.0,0.0,0.0,0.0
2026-05-09 01:20:38.101766,327.5588397388365,330.75657466060096,327.62637975250357,329.02173702139635,6116051,50.0,50.0,0.07,0.07,0.07
2026-05-10 01:20:38.101766,325.3940569210747,328.81625701656617,326.1809033077569,327.1457736232396,6647550,50.0,50.0,-0.33,-0.33,-0.33
2026-05-11 01:20:38.101766,329.12155907955685,331.55355589914126,329.58101337066756,329.8406091071813,9677824,50.0,50.0,0.37,0.37,0.37
2026-05-12 01:20:38.101766,332.2425333607947,335.15589235869214,332.7873799501621,333.23251882610265,2667683,50.0,50.0,1.11,1.11,1.11
2026-05-13 01:20:38.101766,331.8461647915541,334.4099712429837,330.4091776955639,333.10740525169206,7145896,50.0,50.0,0.8,0.9,0.9
2026-05-14 01:20:38.101766,330.28810980427915,334.5856162167865,328.8481985639013,331.7010319111347,3926728,50.0,50.0,0.21,0.4,0.4
2026-05-15 01:20:38.101766,330.59925125488854,333.3147792648984,331.75964548146777,332.1868355779609,9713083,50.0,50.0,0.05,0.48,0.48
2026-05-16 01:20:38.101766,328.9108390723977,331.41008765673683,329.04090514156826,330.7704171884898,8952768,50.75,50.25,-0.43,0.05,0.05
2026-05-17 01:20:38.101766,325.60788806763776,329.18086094860877,324.39756132295656,327.230402152659,6026423,42.61,47.7,-1.14,-0.92,-0.92
2026-05-18 01:20:38.101766,327.1322592423142,330.16332528490705,327.01088574787946,328.08204499451716,5315971,39.82,45.08,-0.58,-0.65,-0.61
2026-05-19 01:20:38.101766,328.42804273692246,331.85936553663026,328.49700753741405,329.59924087446495,1768821,42.67,44.27,0.01,-0.21,-0.13
2026-05-20 01:20:38.101766,330.20726237342404,331.81424085007905,330.25364754085444,330.94106541602235,2606673,48.72,45.76,0.49,0.08,0.25
2026-05-21 01:20:38.101766,330.40626567087315,333.2199873573044,330.63359352705766,332.3968721625441,9850945,58.65,50.05,0.83,0.44,0.64
2026-05-22 01:20:38.101766,332.93062442712716,336.21229372345283,332.1921765877008,334.1668314907632,1533296,66.66,55.59,0.95,0.95,1.1
2026-05-23 01:20:38.101766,334.6988661628328,336.5008973109931,334.8490501236912,335.71183953884866,2110209,75.6,62.26,0.95,1.34,1.47
2026-05-24 01:20:38.101766,332.4003071140498,334.20843062763106,331.8599446941663,333.09243687849846,1983151,74.35,66.29,-0.05,0.51,0.64
2026-05-25 01:20:38.101766,332.27342326418983,333.7591225341105,329.5623502782825,332.40857780343146,3130820,71.63,68.07,-0.34,0.29,0.41
2026-05-26 01:20:38.101766,331.7526326441432,332.2820285222234,329.4118761957705,332.2518256288016,2452206,66.16,67.43,-0.38,0.2,0.34
2026-05-27 01:20:38.101766,331.08867920894113,334.6517084421358,331.95378187429463,333.0772254118429,9472190,63.18,66.02,-0.07,0.27,0.56
2026-05-28 01:20:38.101766,328.8102346196736,331.7013643586497,327.2018970140636,329.9420550854937,9614407,51.94,61.33,-0.67,-0.73,-0.41
2026-05-29 01:20:38.101766,330.9282351931042,334.5270107302132,330.78739936805306,331.5343540640237,9626454,50.16,57.6,-0.09,-0.31,0.03
2026-05-30 01:20:38.101766,335.29971486317106,337.1701323702086,334.9451150993096,335.5767900838787,8677119,61.44,58.88,0.93,0.77,1.13
2026-05-31 01:20:38.101766,333.5104795877713,335.0445108046077,333.18774221402015,334.3156331160986,6227204,64.75,60.84,0.43,0.33,0.68
2026-06-01 01:20:38.101766,329.40890986986307,333.4125768485048,329.7748298423017,330.7443676914391,1513112,55.01,58.9,-0.5,-0.64,-0.36
2026-06-02 01:20:38.101766,328.41050284991803,330.9557563421966,329.941787893159,330.1457489929782,9705304,46.52,54.77,-0.7,-0.65,-0.5
2026-06-03 01:20:38.101766,331.4252268640388,333.6902869011375,330.22887394388783,331.45145893326793,3516328,45.22,51.59,-0.3,-0.21,-0.1
2026-06-04 01:20:38.101766,330.61440208474284,333.69927182712587,330.7642907702175,331.8450516883626,7422908,45.68,49.62,0.04,-0.07,0.02
2026-06-05 01:20:38.101766,328.86079348467933,332.878836509641,329.6149427836738,330.0260333806307,5797846,39.89,46.38,-0.25,-0.55,-0.51
2026-06-06 01:20:38.101766,326.97634682554695,331.5453257915441,326.25086253380886,328.88236980992326,6754988,34.63,42.46,-0.48,-0.77,-0.88
