date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-12-23,95.04000091552734,98.39199829101562,94.94999694824219,97.98999786376953,1190900,0.344,0.0,0.0
2025-12-24,98.30000305175781,98.30000305175781,96.5,97.80999755859375,616700,0.0,0.0,0.0
2025-12-26,98.05999755859375,98.36000061035156,96.61000061035156,97.36000061035156,714600,0.0,0.0,0.0
2025-12-29,96.12000274658203,97.62000274658203,95.5,97.37999725341797,665900,0.0,0.0,0.0
2025-12-30,96.8499984741211,99.4800033569336,96.7699966430664,97.54000091552734,666500,0.0,0.0,0.0
2025-12-31,96.6500015258789,97.87000274658203,96.0,96.87999725341797,635100,0.0,0.0,0.0
2026-01-02,99.5,102.7300033569336,95.22000122070312,98.12999725341797,1762100,0.0,0.0,0.0
2026-01-05,99.7249984741211,100.5,97.80999755859375,99.06999969482422,1488000,0.0,0.0,0.0
2026-01-06,99.06999969482422,101.68000030517578,96.02999877929688,97.56999969482422,2086400,0.0,0.0,0.0
2026-01-07,97.72000122070312,104.88999938964844,97.58999633789062,102.36000061035156,2021900,0.0,0.0,0.0
2026-01-08,106.94999694824219,107.5999984741211,102.04000091552734,104.41000366210938,1825300,0.0,0.0,0.0
2026-01-09,105.55000305175781,107.9010009765625,104.69999694824219,106.44999694824219,1484200,0.0,0.0,0.0
2026-01-12,104.43000030517578,109.91999816894531,103.16000366210938,108.51000213623047,1968500,0.0,0.0,0.0
2026-01-13,110.41000366210938,114.16999816894531,109.73999786376953,111.29000091552734,2015500,0.0,0.0,0.0
2026-01-14,110.41999816894531,111.52899932861328,107.58000183105469,111.02999877929688,1352100,0.0,0.0,0.0
2026-01-15,112.30999755859375,112.30999755859375,107.69999694824219,109.11000061035156,1412800,0.0,0.0,0.0
2026-01-16,110.13999938964844,110.20999908447266,105.58000183105469,107.12000274658203,1145700,0.0,0.0,0.0
2026-01-20,101.01000213623047,105.5999984741211,100.88999938964844,101.91999816894531,1942300,0.0,0.0,0.0
2026-01-21,101.4000015258789,108.44999694824219,100.29000091552734,105.83000183105469,1960300,0.0,0.0,0.0
2026-01-22,109.55000305175781,110.19999694824219,106.12000274658203,107.19999694824219,1273900,0.0,0.0,0.0
2026-01-23,108.42500305175781,109.13999938964844,105.1500015258789,105.45999908447266,984600,0.0,0.0,0.0
2026-01-26,105.26000213623047,110.49400329589844,104.83999633789062,108.79000091552734,1254000,0.0,0.0,0.0
2026-01-27,110.15499877929688,111.87000274658203,108.94999694824219,109.70999908447266,946100,0.0,0.0,0.0
2026-01-28,110.3949966430664,111.58999633789062,107.9800033569336,110.62000274658203,1077200,0.0,0.0,0.0
2026-01-29,113.56999969482422,115.0,104.36000061035156,111.7699966430664,2061700,0.0,0.0,0.0
2026-01-30,109.5199966430664,113.15399932861328,108.13999938964844,112.19999694824219,1159100,0.0,0.0,0.0
2026-02-02,110.29000091552734,116.30999755859375,110.25,115.69999694824219,2094400,0.0,0.0,0.0
2026-02-03,118.13999938964844,119.12000274658203,111.4000015258789,112.86000061035156,2073300,0.0,0.0,0.0
2026-02-04,114.8499984741211,115.1449966430664,105.41000366210938,108.54000091552734,4510900,0.0,0.0,0.0
2026-02-05,94.9800033569336,108.0,91.0199966430664,107.1500015258789,4985400,0.0,0.0,0.0
2026-02-06,104.62000274658203,106.5999984741211,99.79000091552734,101.75,2519600,0.0,0.0,0.0
2026-02-09,100.55999755859375,104.62000274658203,98.18000030517578,102.38999938964844,1481200,0.0,0.0,0.0
2026-02-10,100.72000122070312,100.86799621582031,96.48999786376953,98.95999908447266,1551400,0.0,0.0,0.0
2026-02-11,99.27999877929688,100.29000091552734,93.36000061035156,94.06999969482422,2739100,0.0,0.0,0.0
